s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0002351	sinoatrial node	sinoatrial node	UBERON:0002078	right cardiac atrium	right atrium
UBERON:0002049	vasculature	vasculature	UBERON:0002078	right cardiac atrium	right atrium
UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	UBERON:0011820	atrioventricular region	atrioventricular junction
UBERON:0005438	coronary sinus	coronary sinus	UBERON:0011820	atrioventricular region	atrioventricular junction
UBERON:0002352	atrioventricular node	atrioventricular node	UBERON:0011820	atrioventricular region	atrioventricular junction
UBERON:0001625	right coronary artery	right coronary artery	UBERON:0011820	atrioventricular region	atrioventricular junction
UBERON:0035374	small cardiac vein	small cardiac vein	UBERON:0011820	atrioventricular region	atrioventricular junction
UBERON:0002049	vasculature	vasculature	UBERON:0002079	left cardiac atrium	left atrium
UBERON:0001982	capillary	vasculature	UBERON:0002079	left cardiac atrium	left atrium
UBERON:0001979	venule	vasculature	UBERON:0002079	left cardiac atrium	left atrium
UBERON:0002049	vasculature	vasculature	UBERON:0002084	heart left ventricle	left ventricle
UBERON:0001982	capillary	vasculature	UBERON:0002084	heart left ventricle	left ventricle
UBERON:0001979	venule	vasculature	UBERON:0002084	heart left ventricle	left ventricle
UBERON:0006958	great cardiac vein	great cardiac vein	UBERON:0002094	interventricular septum	septum
UBERON:0009687	middle cardiac vein	middle cardiac vein	UBERON:0002094	interventricular septum	septum
UBERON:0001982	capillary	vasculature	UBERON:0002094	interventricular septum	septum
UBERON:0001979	venule	vasculature	UBERON:0002094	interventricular septum	septum
UBERON:0002353	atrioventricular bundle	bundle of His	UBERON:0002094	interventricular septum	septum
UBERON:0002049	vasculature	vasculature	UBERON:0002080	heart right ventricle	right ventricle
UBERON:0001982	capillary	vasculature	UBERON:0002080	heart right ventricle	right ventricle
UBERON:0001979	venule	vasculature	UBERON:0002080	heart right ventricle	right ventricle
