s,slabel,user_slabel,o,olabel,user_olabel
UBERON:0016525,frontal lobe,frontal lobe,UBERON:0000956,cerebral cortex,cerebral cortex
UBERON:0001384,Primary motor cortex,Primary motor cortex,UBERON:0002703,precentral gyrus,precentral gyrus
UBERON:0004725,piriform cortex,lateral olfactory gyrus,UBERON:0016525,frontal lobe,frontal lobe
UBERON:0001872,parietal lobe,parietal lobe,UBERON:0000956,cerebral cortex,cerebral cortex
UBERON:0001871,temporal lobe,temporal lobe,UBERON:0000956,cerebral cortex,cerebral cortex
UBERON:0002021,occipital lobe,occipital lobe,UBERON:0000956,cerebral cortex,cerebral cortex
UBERON:0002600,limbic lobe,limbic lobe,UBERON:0000956,cerebral cortex,cerebral cortex
UBERON:0001944,Pretectal region,Pretectal region,UBERON:0019267,gray matter of midbrain,gray matter of midbrain
UBERON:0001943,midbrain tegmentum,midbrain tegmentum,UBERON:0019267,gray matter of midbrain,gray matter of midbrain
UBERON:0002037,cerebellum,cerebellum,UBERON:0019263,gray matter of hindbrain,gray matter of hindbrain
UBERON:0000988,pons,pons,UBERON:0019263,gray matter of hindbrain,gray matter of hindbrain
UBERON:0007228,vestibular nucleus,vestibular nuclei,UBERON:0003023,pontine tegmentum,pontine tegmentum
UBERON:0007634,parabrachial nucleus,parabrachial nuclei,UBERON:0003023,pontine tegmentum,pontine tegmentum
UBERON:0001896,medulla oblongata,medulla oblongata,UBERON:0019263,gray matter of hindbrain,gray matter of hindbrain
UBERON:0024151,tegmentum,tegmentum of the medulla,UBERON:0001896,medulla oblongata,medulla oblongata
UBERON:0001717,spinal nucleus of trigeminal nerve,spinal trigeminal nucleus,UBERON:0024151,tegmentum,tegmentum of the medulla
UBERON:0002707,corticospinal tract,pyramidal tract,UBERON:0019258,white matter of hindbrain,white matter of hindbrain
UBERON:0002150,superior cerebellar peduncle,superior cerebellar peduncle,UBERON:0019258,white matter of hindbrain,white matter of hindbrain
UBERON:0004086,brain ventricle,ventricles of hindbrain,UBERON:0002028,hindbrain,hindbrain (rhombencephalon)
UBERON:0002291,central canal of spinal cord,central canal of medulla oblongata,UBERON:0004086,brain ventricle,ventricles of hindbrain
