ID	LABEL	TYPE	Parent
ID	A rdfs:label	TYPE	I ccf_part_of
UBERON:0002078	right cardiac atrium	owl:NamedIndividual	UBERON:0000948
UBERON:0002351	sinoatrial node	owl:NamedIndividual	UBERON:0002078
UBERON:0002302	myocardium of atrium	owl:NamedIndividual	UBERON:0002078
UBERON:0002049	vasculature	owl:NamedIndividual	UBERON:0002078
UBERON:0011820	atrioventricular region	owl:NamedIndividual	UBERON:0000948
UBERON:0035422	circumflex branch of left coronary artery	owl:NamedIndividual	UBERON:0011820
UBERON:0005438	coronary sinus	owl:NamedIndividual	UBERON:0011820
UBERON:0002352	atrioventricular node	owl:NamedIndividual	UBERON:0011820
UBERON:0001625	right coronary artery	owl:NamedIndividual	UBERON:0011820
UBERON:0002079	left cardiac atrium	owl:NamedIndividual	UBERON:0000948
UBERON:0002302	myocardium of atrium	owl:NamedIndividual	UBERON:0002079
UBERON:0002049	vasculature	owl:NamedIndividual	UBERON:0002079
UBERON:0002084	heart left ventricle	owl:NamedIndividual	UBERON:0000948
UBERON:0006566	left ventricle myocardium	owl:NamedIndividual	UBERON:0002084
UBERON:0002049	vasculature	owl:NamedIndividual	UBERON:0002084
UBERON:0002094	interventricular septum	owl:NamedIndividual	UBERON:0000948
UBERON:0002353	atrioventricular bundle	owl:NamedIndividual	UBERON:0002094
UBERON:0002349	myocardium	owl:NamedIndividual	UBERON:0002094
UBERON:0002080	heart right ventricle	owl:NamedIndividual	UBERON:0000948
UBERON:0006567	right ventricle myocardium	owl:NamedIndividual	UBERON:0002080
UBERON:0002049	vasculature	owl:NamedIndividual	UBERON:0002080
UBERON:0000946	Cardial valve	owl:NamedIndividual	UBERON:0000948
UBERON:0002134	Tricuspid valve	owl:NamedIndividual	UBERON:0000946
UBERON:0002146	Pulmonary Valve	owl:NamedIndividual	UBERON:0000946
UBERON:0002135	Mitral valve	owl:NamedIndividual	UBERON:0000946
UBERON:0002137	Aortic valve	owl:NamedIndividual	UBERON:0000946
UBERON:0002348	epicardium	owl:NamedIndividual	UBERON:0000948
