	ID	Label	Equivalent axioms	Equivalent relationship axioms
0	ID	LABEL	EC %	EC part of some %
1		fibroblast of large intestine smooth muscle circular layer	CL:0000057	UBERON:0012398
2		fibroblast of lamina propria of mucosa of colon	CL:0000057	UBERON:0007177
3		fibroblast of lamina propria	CL:0000057	UBERON:0007177
4		fibroblast of circular muscle layer	CL:0000057	UBERON:0012398
5		fibroblast of myenteric nerve plexus	CL:0000057	UBERON:0002439
6		fibroblast of large intestine smooth muscle longitudinal layer	CL:0000057	UBERON:0012399
7		fibroblast of longitudinal muscle layer	CL:0000057	UBERON:0012399
8		fibroblast of myenteric plexus of Auerbach	CL:0000057	UBERON:0002439
9		blood vessel endothelial cell of arteriole of lymph node	CL:0000071	UBERON:8410042
10		blood vessel endothelial cell of arteriole of lymph node	CL:0000071	UBERON:8410042
11		blood vessel endothelial cell of arteriole of lymph node	CL:0000071	UBERON:8410042
12		blood vessel endothelial cell of venule of lymph node	CL:0000071	UBERON:8410041
13		blood vessel endothelial cell of venule of lymph node	CL:0000071	UBERON:8410041
14		blood vessel endothelial cell of arteriole of lymph node	CL:0000071	UBERON:8410042
15		simple columnar epithelial cell of major duodenal papilla	CL:0000146	UBERON:0012271
16		simple columnar epithelial cell of major duodenal papilla	CL:0000146	UBERON:0012271
17		neuroendocrine cell of lamina propria of mucosa of colon	CL:0000165	UBERON:0007177
18		neuroendocrine cell of epithelium of crypt of Lieberkuhn	CL:0000165	UBERON:0011184
19		nan of lamina propria	CL:0000165	UBERON:0007177
20		nan of epithelium of crypt of Lieberkuhn	CL:0000165	UBERON:0011184
21		myoepithelial cell of bronchial submucosal gland	CL:0000185	UBERON:8410043
22		myoepithelial cell of bronchus submucosal gland	CL:0000185	UBERON:8410043
23		myoepithelial cell of bronchial submucosal gland	CL:0000185	UBERON:8410043
24		myofibroblast cell of lamina propria	CL:0000186	UBERON:0007177
25		myofibroblast cell of lamina propria of mucosa of colon	CL:0000186	UBERON:0007177
26		smooth muscle of taenia coli	CL:0000192	UBERON:0012419
27		smooth muscle of mesocolic coli	CL:0000192	UBERON:0012419
28		smooth muscle of free coli	CL:0000192	UBERON:0012419
29		smooth muscle of omental coli	CL:0000192	UBERON:0012419
30		smooth muscle of taenia coli	CL:0000192	UBERON:0012419
31		smooth muscle of taenia coli	CL:0000192	UBERON:0012419
32		serous cell of submucosal glands of bronchial submucosal gland	CL:0000313	UBERON:8410043
33		serous cell of submucosal glands of bronchus submucosal gland	CL:0000313	UBERON:8410043
34		cytotrophoblast of trophoblast	CL:0000523	UBERON:0000088
35		cytotrophoblast of trophoblast	CL:0000523	UBERON:0000088
36		glomerular visceral epithelial cell of glomerular visceral epithelium	CL:0000653	UBERON:0006852
37		podocyte of glomerular visceral epithelium	CL:0000653	UBERON:0006852
38		pericyte cell of submucosa	CL:0000669	UBERON:0003331
39		pericyte cell of lamina propria of mucosa of colon	CL:0000669	UBERON:0007177
40		pericyte cell of longitudinal muscle layer	CL:0000669	UBERON:0012399
41		pericyte cell of large intestine smooth muscle longitudinal layer	CL:0000669	UBERON:0012399
42		pericyte cell of myenteric plexus of Auerbach	CL:0000669	UBERON:0002439
43		pericyte cell of myenteric nerve plexus	CL:0000669	UBERON:0002439
