ID,Label,User_label,Parent_class,OBO_Validated_isa,validation_date_isa,part_of,OBO_Validated_po,validation_date_po,overlaps,OBO_Validated_overlaps,validation_date_overlaps,connected_to,OBO_Validated_ct,validation_date_ct,develops_from,OBO_Validated_df,validation_date_df,has_part,OBO_Validated_hp,validation_date_hp
ID,LABEL,A skos:prefLabel,SC %,>A CCFH:IN_OBO,>A dc:date,SC part_of some %,>A CCFH:IN_OBO,>A dc:date,SC overlaps some %,>A CCFH:IN_OBO,>A dc:date,SC connected_to some %,>A CCFH:IN_OBO,>A dc:date,SC develops_from some %,>A CCFH:IN_OBO,>A dc:date,SC has_part some %,>A CCFH:IN_OBO,>A dc:date
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
UBERON:0000390,,lens nucleus,,,,,,,,,,,,,,,,,,
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
CL:0002225,,secondary lens fiber,,,,,,,,,,,,,,,,,,
CL:0011004,,lens fiber cell,,,,,,,,,,,,,,,,,,
CL:0002225,,secondary lens fiber,,,,,,,,,,,,,,,,,,
UBERON:0000390,,lens nucleus,,,,,,,,,,,,,,,,,,
UBERON:0000390,,lens nucleus,,,,,,,,,,,,,,,,,,
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
CL:0011004,,lens fiber cell,,,,,,,,,,,,,,,,,,
UBERON:0000390,,lens nucleus,,,,,,,,,,,,,,,,,,
UBERON:0000389,,lens cortex,,,,,,,,,,,,,,,,,,
UBERON:0000965,,lens,,,,,,,,,,,,,,,,,,
CL:0011004,,lens fiber cell,,,,,,,,,,,,,,,,,,
UBERON:0000389,,lens cortex,,,,,,,,,,,,,,,,,,
CL:0000129,,microglial cell,,,,,,,,,,,,,,,,,,
CL:0000540,,neuron,,,,,,,,,,,,,,,,,,
CL:0000129,,microglial cell,,,,,,,,,,,,,,,,,,
UBERON:0000966,,retina,,,,,,,,,,,,,,,,,,
CL:0011107,,Muller cell,,,,,,,,,,,,,,,,,,
CL:0000540,,neuron,,,,,,,,,,,,,,,,,,
CL:0011107,,Muller cell,,,,,,,,,,,,,,,,,,
UBERON:0001791,,inner nuclear layer of retina,,,,,,,,,,,,,,,,,,
CL:0000669,,pericyte cell,,,,,,,,,,,,,,,,,,
CL:0008034,,mural cell,,,,,,,,,,,,,,,,,,
CL:0000669,,pericyte cell,,,,,,,,,,,,,,,,,,
UBERON:0004864,,retinal vasculature,,,,,,,,,,,,,,,,,,
CL:0000287,,eye photoreceptor cell,,,,,,,,,,,,,,,,,,
CL:0000540,,neuron,,,,,,,,,,,,,,,,,,
CL:0000604,,retinal rod cell,,,,,,,,,,,,,,,,,,
CL:0000287,,eye photoreceptor cell,,,,,,,,,,,,,,,,,,
CL:0000604,,retinal rod cell,,,,,,,,,,,,,,,,,,
UBERON:0001789,,outer nuclear layer of retina,,,,,,,,,,,,,,,,,,
UBERON:0001782,,retinal pigmented epithelium,,,,,,,,,,,,,,,,,,
UBERON:0000966,,retina,,,,,,,,,,,,,,,,,,
CL:0002586,,retinal pigment epithelial cell,,,,,,,,,,,,,,,,,,
UBERON:0001782,,retinal pigmented epithelium,,,,,,,,,,,,,,,,,,
UBERON:0000389,,lens Cortex,,,,,,,,,,,,,,,,,,
