ID	LABEL	TYPE	Parent
ID	A rdfs:label	TYPE	I ccf_part_of
UBERON:0001194	splenic artery	owl:NamedIndividual	UBERON:0001250
UBERON:0013132	Penicillar Arteriole	owl:NamedIndividual	UBERON:0010401
UBERON:0001250	red pulp of spleen	owl:NamedIndividual	UBERON:1000023
UBERON:0009967	spleen venous sinus	owl:NamedIndividual	UBERON:0001250
UBERON:0001638	Splenic vein	owl:NamedIndividual	UBERON:0001250
UBERON:0001266	splenic cord	owl:NamedIndividual	UBERON:0001250
UBERON:1000023	spleen pulp	owl:NamedIndividual	UBERON:0002106
UBERON:0005353	NOT FOUND	owl:NamedIndividual	UBERON:0001959
UBERON:0001959	white pulp of spleen	owl:NamedIndividual	UBERON:1000023
UBERON:0005196	spleen germinal center	owl:NamedIndividual	UBERON:0004042
UBERON:0010421	spleen B cell corona	owl:NamedIndividual	UBERON:0004042
UBERON:0010401	spleen central arteriole	owl:NamedIndividual	UBERON:0001959
UBERON:0001960	periarterial lymphatic sheath	owl:NamedIndividual	UBERON:0001959
UBERON:0001194	splenic artery	owl:NamedIndividual	UBERON:0001248
UBERON:0003713	splenic vein	owl:NamedIndividual	UBERON:0001248
UBERON:0001248	hilum of spleen	owl:NamedIndividual	UBERON:0002106
UBERON:0001473	lymphatic vessel	owl:NamedIndividual	UBERON:0001248
UBERON:0004641	spleen capsule	owl:NamedIndividual	UBERON:0002106
UBERON:0001473	lymphatic vessel	owl:NamedIndividual	UBERON:0004641
UBERON:0010399	Spleen Trabecular Artery	owl:NamedIndividual	UBERON:0001265
UBERON:0010400	Spleen Trabecular Vein	owl:NamedIndividual	UBERON:0001265
UBERON:0001265	trabecula of spleen	owl:NamedIndividual	UBERON:0004641
