s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0002292	type I cell of carotid body	Glomus cell	UBERON:0000412	dermal papilla	dermal papilla	64	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	68	
CL:0002138	endothelial cell of lymphatic vessel	Lymphatic	UBERON:0002072	hypodermis	Subcutaneous	68	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	69	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	70	
CL:0002620	skin fibroblast	Fibroblast	UBERON:0002072	hypodermis	Subcutaneous	70	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	71	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	72	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	73	
CL:0000545	T-helper 1 cell	T helper	UBERON:0002072	hypodermis	Subcutaneous	73	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	74	
CL:0000910	cytotoxic T cell	T killer	UBERON:0002072	hypodermis	Subcutaneous	74	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	75	
CL:0000815	regulatory T cell	T reg	UBERON:0002072	hypodermis	Subcutaneous	75	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	76	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	77	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	78	
CL:0000771	eosinophil	Eosinophil	UBERON:0002072	hypodermis	Subcutaneous	78	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	79	
UBERON:0007121	skin nerve field	nerve	UBERON:0002072	hypodermis	Subcutaneous	79	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	80	
CL:0002573	Schwann cell	Schwann cell	UBERON:0002072	hypodermis	Subcutaneous	80	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	81	
CL:0002576	perineurial cell	Perineural cell	UBERON:0002072	hypodermis	Subcutaneous	81	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	82	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	83	
CL:0000359	vascular associated smooth muscle cell	Perivascular smooth muscle cell	UBERON:0002072	hypodermis	Subcutaneous	83	
UBERON:0002072	hypodermis	Subcutaneous	UBERON:0002097	skin of body	skin	84	
CL:0002292	type I cell of carotid body	Glomus cell	UBERON:0002072	hypodermis	Subcutaneous	84	
