row_number	s	slabel	user_slabel	o	olabel	user_olabel	deltaIC
19	CL:0000990	conventional dendritic cell	dendritic cell type 1 (DC1)	CL:0001056	dendritic cell, human	dendritic cell (DC)	22.905498344337943
20	CL:0000990	conventional dendritic cell	dendritic cell type 2 (DC2)	CL:0001056	dendritic cell, human	dendritic cell (DC)	22.905498344337943
23	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	CL:0001056	dendritic cell, human	dendritic cell (DC)	11.292456911154105
33	CL:0000037	hematopoietic stem cell	hemopoietic stem cell (HSC)	UBERON:0002371	Bone marrow	Bone marrow	2.841484850273069
34	CL:0000837	hematopoietic multipotent progenitor cell	hemopoietic stem cell/multipotent progenitor (HSC/MPP)	UBERON:0002371	Bone marrow	Bone marrow	2.281751539115753
35	CL:0000837	hematopoietic multipotent progenitor cell	multipotent progenitor cell (MPP)	UBERON:0002371	Bone marrow	Bone marrow	2.281751539115753
52	CL:0000084	T cell	T lymphocytes	UBERON:0002371	Bone marrow	Bone marrow	1.5520984048576523
54	CL:0000084	T cell	T lymphocytes	UBERON:0002371	Bone marrow	Bone marrow	1.5520984048576523
33	CL:0000037	hematopoietic stem cell	hemopoietic stem cell (HSC)	CL:0000837	hematopoietic multipotent progenitor cell	hemopoietic stem cell/multipotent progenitor (HSC/MPP)	0.5597333111573164
12	CL:0000817	precursor B cell	precursor B cell (pre B cell)	UBERON:0002371	Bone marrow	Bone marrow	
13	CL:0000816	immature B cell	immature B cell	UBERON:0002371	Bone marrow	Bone marrow	
14	CL:0000787	memory B cell	memory B cell	UBERON:0002371	Bone marrow	Bone marrow	
15	CL:0000788	naive B cell	naive B cell	UBERON:0002371	Bone marrow	Bone marrow	
16	CL:0000786	plasma cell	plasma cell	UBERON:0002371	Bone marrow	Bone marrow	
17	CL:0000826	pro-B cell	pro B progenitor	CL:0000945	lymphocyte of B lineage	B lineage	
17	CL:0000826	pro-B cell	pro B progenitor	UBERON:0002371	Bone marrow	Bone marrow	
18	CL:0000818	transitional stage B cell	transitional B cell	UBERON:0002371	Bone marrow	Bone marrow	
19	CL:0000990	conventional dendritic cell	dendritic cell type 1 (DC1)	UBERON:0002371	Bone marrow	Bone marrow	
20	CL:0000990	conventional dendritic cell	dendritic cell type 2 (DC2)	UBERON:0002371	Bone marrow	Bone marrow	
21	CL:0001056	dendritic cell, human	dendritic cell type 3 (DC3)	CL:0001056	dendritic cell, human	dendritic cell (DC)	
21	CL:0001056	dendritic cell, human	dendritic cell type 3 (DC3)	UBERON:0002371	Bone marrow	Bone marrow	
22	CL:0001058	plasmacytoid dendritic cell, human	Plasmacytoid Dendritic Cell (pDC)	UBERON:0002371	Bone marrow	Bone marrow	
23	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	UBERON:0002371	Bone marrow	Bone marrow	
24	CL:0000764	erythroid lineage cell	early erythroid	CL:0000764	erythroid lineage cell	erythroid	
24	CL:0000764	erythroid lineage cell	early erythroid	UBERON:0002371	Bone marrow	Bone marrow	
25	CL:0000764	erythroid lineage cell	mid erythroid	CL:0000764	erythroid lineage cell	erythroid	
25	CL:0000764	erythroid lineage cell	mid erythroid	UBERON:0002371	Bone marrow	Bone marrow	
26	CL:0000764	erythroid lineage cell	late erythroid	CL:0000764	erythroid lineage cell	erythroid	
26	CL:0000764	erythroid lineage cell	late erythroid	UBERON:0002371	Bone marrow	Bone marrow	
27	CL:0000556	megakaryocyte	Megakaryocyte (MK)	CL:0000556	Megakaryocyte	Megakaryocyte (MK)	
27	CL:0000556	megakaryocyte	Megakaryocyte (MK)	UBERON:0002371	Bone marrow	Bone marrow	
28	CL:0000553	megakaryocyte progenitor cell	early Megakaryocyte (MK)	CL:0000556	Megakaryocyte	Megakaryocyte (MK)	
28	CL:0000553	megakaryocyte progenitor cell	early Megakaryocyte (MK)	UBERON:0002371	Bone marrow	Bone marrow	
29	CL:0000050	megakaryocyte-erythroid progenitor cell	megakaryocyte-erythroid-mast cell progenitor (MEMP)	UBERON:0002371	Bone marrow	Bone marrow	
30	CL:0000051	common lymphoid progenitor	common lymphoid progenitor (CLP)	UBERON:0002371	Bone marrow	Bone marrow	
31	CL:0000049	common myeloid progenitor	common myeloid progenitor (CMP)	UBERON:0002371	Bone marrow	Bone marrow	
35	CL:0000837	hematopoietic multipotent progenitor cell	multipotent progenitor cell (MPP)	CL:0000837	hematopoietic multipotent progenitor cell	hemopoietic stem cell/multipotent progenitor (HSC/MPP)	
36	CL:0001054	CD14-positive monocyte	CD14 monocyte	UBERON:0002371	Bone marrow	Bone marrow	
37	CL:0002396	CD14-low, CD16-positive monocyte	CD16 monocyte	UBERON:0002371	Bone marrow	Bone marrow	
38	CL:0000559	promonocyte	promonocyte	CL:0000576	monocyte	monocyte	
