s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:8600098	dorsal lingual artery	dorsal lingual artery	25
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:8600095	Ascending palatine artery	ascending palatine artery	26
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001612	facial artery	tonsillar branch of the facial artery	27
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:8600078	Ascending pharyngeal artery	ascending pharyngeal artery	28
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0001070	external carotid artery	lesser palatine artery	29
CL:0000084	T Cell	T Cell	UBERON:0010754	germinal center	germinal center	46
CL:0000236	B cell	B cell	UBERON:0010754	germinal center	germinal center	41
CL:0000236	B cell	B cell	UBERON:0010754	germinal center	germinal center	44
CL:0000624	CD4-positive, alpha-beta T cell	CD4 T cell	UBERON:0010754	germinal center	germinal center	42
