s,slabel,user_slabel,o,olabel,user_olabel
UBERON:0001114,right lobe of liver,,UBERON:0002107,liver,
UBERON:0001115,left lobe of liver,,UBERON:0002107,liver,
UBERON:0002110,gallblader,,UBERON:0002107,liver,
UBERON:0001639,hepatic portal vein,,UBERON:0002107,liver,
UBERON:0001174,common bile duct,,UBERON:0002107,liver,
UBERON:0004647,liver lobule,,UBERON:0002107,liver,
CL:0000182,hepatocyte,,UBERON:0004647,liver lobule,
CL:0000632,hepatic stellate cell,,UBERON:0004647,liver lobule,
CL:0000091,Kupffer cell,,UBERON:0004647,liver lobule,
UBERON:0001282,intralobular bile duct,,UBERON:0004647,liver lobule,
CL:1000488,cholangiocyte,,UBERON:0004647,liver lobule,
UBERON:0001193,hepatic artery,,UBERON:0004647,liver lobule,
UBERON:0006841,central vein of liver,,UBERON:0004647,liver lobule,
UBERON:0001639,hepatic portal vein,,UBERON:0004647,liver lobule,
CL:0009094,endothelial cell of hepatic portal vein,,UBERON:0004647,liver lobule,
UBERON:0001281,hepatic sinusoid,,UBERON:0004647,liver lobule,
CL:1000398,endothelial cell of hepatic sinusoid,,UBERON:0004647,liver lobule,
CL:0019021,endothelial cell of periportal hepatic sinusoid,,UBERON:0004647,liver lobule,
CL:0019022,endothelial cell of pericentral hepatic sinusoid,,UBERON:0004647,liver lobule,
