s,slabel,user_slabel,o,olabel,user_olabel
UBERON:0007329,pancreatic duct,,UBERON:0001264,pancreas,
UBERON:0004913,hepatopancreatic ampulla,,UBERON:0001264,pancreas,
UBERON:0001263,pancreatic acinus,,UBERON:0001264,pancreas,
UBERON:0001174,common bile duct,,UBERON:0001264,pancreas,
UBERON:0001151,tail of pancreas,,UBERON:0001264,pancreas,
UBERON:0001150,body of pancreas,,UBERON:0001264,pancreas,
UBERON:0001069,head of pancreas,,UBERON:0001264,pancreas,
UBERON:0000006,islet of Langerhans,,UBERON:0001264,pancreas,
CL:0005019,pancreatic epsilon cell,,UBERON:0000006,islet of Langerhans,
CL:0002410,pancreatic stellate cell,,UBERON:0000006,islet of Langerhans,
CL:0002275,pancreatic PP cell,,UBERON:0000006,islet of Langerhans,
CL:0000622,acinar cell,,UBERON:0000006,islet of Langerhans,
CL:0000173,pancreatic D cell,,UBERON:0000006,islet of Langerhans,
CL:0000171,pancreatic A cell,,UBERON:0000006,islet of Langerhans,
CL:0000169,type B pancreatic cell,,UBERON:0000006,islet of Langerhans,
