AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	CT/1	CT/1/LABEL	CT/1/ID	BG/1	BG/1/LABEL	BG/1/ID	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic sinusoid	hepatic sinusoid	UBERON:0001281				liver sinusoid endothelial cell		CL:1000398	CD31 Low, Ulex lectin binding, CD105/ endoglin			CD34-/CD31 low/CD105+											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic sinusoid	hepatic sinusoid	UBERON:0001281				Kupffer cell	Kupffer Cell	CL:0000091	CD68			CD68											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	Disse's space	liver perisinusoidal space	UBERON:0006729				quiescent hepatic stellate cell	quiescent hepatic stellate cell	CL:0000632	PDGFRB, GFAP, desmin			PDGFRb, GFAP, desmin											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	Disse's space	liver perisinusoidal space	UBERON:0006729				Immune cell																	
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic plate	hepatic cord	UBERON:0005452				hepatocyte	hepatocyte	CL:0000182				Cyp2D6, canalicular CD10, canalicular BSEP, Heppar1 (mAb)											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic plate	hepatic cord	UBERON:0005452				periportal hepatocyte	periportal hepatocyte	New term I will submit to CL	CPS1, E-cadherin			CPS1											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic plate	hepatic cord	UBERON:0005452				pericentral hepatocyte	pericentral hepatocyte	New term I will submit to CL	Lgr5, Axin2, b-catenin, Glutamine Synthase			Glutamine Synthase											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	hepatic plate	hepatic cord	UBERON:0005452				mid zone hepatocyte	mid zone hepatocyte	New term I will submit to CL															
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	central vein	central vein of liver	UBERON:0006841				endothelial cell	vein endothelial cell	CL_0002543; CL:1000393	CD31, CD34			CD31, CD34											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	bile duct/ule			cuboidal cell (Small cholangiocytes are cuboidal)	stratified cuboidal epithelial cell	CL:0000241	Keratin-19, keratin-7			Keratin-19, keratin-7											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	bile duct/ule			columnar cell ( larger cholangiocytes are more columnar) has ciliae	columnar/cuboidal epithelial cell	CL:0000075	CFTR			Keratin-19, keratin-7											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	portal vein			endothelial cell	vein endothelial cell	CL_0002543; CL:1000393				E-Selectin, CD34, Pal-E antigen, vWF											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	nerve	0		neuron cell	"
afferent neuron cell"	CL:0000526	TUBB3			S100, TRPVA 							PMID: 21262470				
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	hepatic artery			endothelial cell 	endothelial cell of arthery	CL_1000413 CL:0002542	CD31, CD34			CD31, CD34											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	hepatic artery			 smooth muscle cell	 blood vessel smooth muscle cell	CL:0019018	smooth muscle actin			smooth muscle actin											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	portal triad/tract	portal triad	UBERON:0001279	interstitial			portal fibroblast			CTGF			CTGF											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	Canals of Hering						hepatic oval cell			oval-6, CD90, CD117														
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	Canals of Hering						hepatic oval cell			Lgr5, Prom1, OPN1, Sox9			EpCam(CD326)											
liver	liver	UBERON:0002107	hepatic Lobule	liver lobule	UBERON:0004647	lymphatic vessel						lymphatic endothelial cell																	
