Partonomy (some are 17 levels deep, provide RDFS LABEL, Uberon ID)															Typology (1 level CL for NCB)			Gene Biomarkers (many, HGNC IDs)													Protein Biomarkers (many, need HGNC IDs)									FTU (1 if FTU or blank)	References for AS, CT, and B but also for AS-CT and CT-B Links																			
AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	CT/1	CT/1/LABEL	CT/1/ID	BG/1	BG/1/LABEL	BG/1/ID	BG/2	BG/2/LABEL	BG/2/ID	BG/3	BG/3/LABEL	BG/3/ID	BG/4	BG/4/LABEL	BG/4/ID	protein biomarkers combined column	BP/1	BP/1/LABEL	BP/1/ID	BP/2	BP/2/LABEL	BP/2/ID	BP/3	BP/3/LABEL	BP/3/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES														
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791							fibroblast	fibroblast		PDGFRA			FBN1			FGF7							PDPN																													
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	afferent lymphatic vessel	afferent lymphatic vessel					lymphatic endothelial cell	lymphatic endothelial cell		CDH5			LYVE1										LYVE1																													
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	blood vessel	blood vessel					vascular endothelial cell	vascular endothelial cell		CD34			VWF			VIM			KLF4				CD31			CD31																										
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	adipose tissue	adipose tissue					fat cells	fat cells		FABP4																																										
thoracic thymus	thymus	UBERON:0002370	capsule of thymus	capsule of thymus	UBERON:0002370	thymus trabecula	thymus trabecula	UBERON:0004791	nerve (vagal afferent)	nerve (vagal afferent)					nerve bodies	nerve bodies		TH													TH			TH																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus epithelium	thymus epithelium	UBERON:0003846	thymus subcapsular epithelium	thymus subcapsular epithelium	UBERON:0006936	subcapsular epithelial cell (type 1)	subcapsular epithelial cell (type 1)		EPCAM													EPCAM			cytokeratin																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN1 thymic pro-T cell (thymocyte)	DN1 thymic pro-T cell (thymocyte)	CL:0000894	PTCRA													CD34			CD44							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2 thymocyte	DN2 thymocyte	CL:0000806	PTCRA												CD34, CD38, CD44, CD25	CD34, CD38, CD44, CD25			CD34, CD38, CD44, CD25							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2a thymocyte	DN2a thymocyte	CL:0002423																								https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN2b thymocyte	DN2b thymocyte	CL:0002424																								https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224																		
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN3 thymocyte	DN3 thymocyte	CL:0000807													CD34, CD38, CD1a	CD34, CD38, CD1a			CD34, CD38, CD1a							https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	DN4 thymocyte	DN4 thymocyte	CL:0000808													CD1a	CD1a										https://science.sciencemag.org/content/367/6480/eaay3224/tab-figures-data	10.1126/science.aay3224		Lavaert M, Liang KL, Vandamme N, Park JE, Roels J, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Vandekerckhove B, Leclercq G, Regev A, Van Vlierberghe P, Guilliams M, Teichmann SA, Saeys Y, Taghon T. Integrated scRNA-Seq Identifies Human Postnatal Thymus Seeding Progenitors and Regulatory Dynamics of Differentiating Immature Thymocytes. Immunity. 2020 Jun 16;52(6):1088-1104.e6. doi: 10.1016/j.immuni.2020.03.019. Epub 2020 Apr 17. PMID: 32304633.	10.1016/j.immuni.2020.03.019	gene ref														
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	thymic cortical macrophage	thymic cortical macrophage	CL:0000883	CD68			LYZ									CD68, CD11c, CD169, CD209	CD68, CD11c, CD169, CD209			CD68, CD11c, CD169, CD209																										
thoracic thymus	thymus	UBERON:0002370	thymus lobe	thymus lobe	UBERON:0005483	thymus lobule	thymus lobule	UBERON:0002125	thymus lymphoid tissue	thymus lymphoid tissue	UBERON:0003483	cortex of thymus	cortex	UBERON:0002123	CD25-positive, CD27-positive immature gamma-delta T cell	CD25-positive, CD27-positive immature gamma-delta T cell	CL:0002126	TRGC			CD27									CD27	CD27			CD25 TCRgd							van de Wijngaert, F.P., Kendall, M.D., Schuurman, HJ. et al. Heterogeneity of epithelial cells in the human thymus. Cell Tissue Res. 237, 227–237 (1984).	https://doi.org/10.1007/BF00217140		https://www.frontiersin.org/articles/10.3389/fimmu.2020.00042/full	/10.3389/fimmu.2020.00042															
