s,slabel,user_slabel,o,olabel,user_olabel
UBERON:0001225,cortex of kidney,,UBERON:0002113,kidney,
UBERON:0000362,renal medulla,,UBERON:0002113,kidney,
UBERON:0004200,kidney pyramid,,UBERON:0002113,kidney,
UBERON:0001224,renal pelvis,,UBERON:0002113,kidney,
UBERON:0000056,ureter,,UBERON:0002113,kidney,
UBERON:0001285,nephron,,UBERON:0002113,kidney,
UBERON:0000074,renal glomerulus,,UBERON:0001285,nephron,
UBERON:0004134,proximal tubule,,UBERON:0001285,nephron,
UBERON:0001287,proximal convoluted tubule,,UBERON:0001285,nephron,
UBERON:0001290,proximal straight tubule,,UBERON:0001285,nephron,
UBERON:0001288,loop of Henle,,UBERON:0001285,nephron,
UBERON:0001291,thick ascending limb of loop of Henle,,UBERON:0001285,nephron,
UBERON:0001292,distal convoluted tubule,,UBERON:0001285,nephron,
UBERON:0005097,renal connecting tubule,,UBERON:0001285,nephron,
UBERON:0001232,collecting duct of renal tubule,,UBERON:0001285,nephron,
UBERON:0001228,renal papilla,,UBERON:0001285,nephron,
UBERON:0001230,glomerular capsule,,UBERON:0001285,nephron,
UBERON:0009202,vasa recta descending limb,,UBERON:0001285,nephron,
UBERON:0009091,vasa recta ascending limb,,UBERON:0001285,nephron,
UBERON:0004639,renal afferent arteriole,,UBERON:0001285,nephron,
UBERON:0004640,renal efferent arteriole,,UBERON:0001285,nephron,
UBERON:0005096,descending thin limb,,UBERON:0001285,nephron,
UBERON:0004193,loop of Henle ascending limb thin segment,,UBERON:0001285,nephron,
CL:0000650,mesangial cell,,UBERON:0000074,renal glomerulus,
CL:0000653,glomerular visceral epithelial cell,,UBERON:0000074,renal glomerulus,
UBERON:0004135,distal tubule,,UBERON:0000074,renal glomerulus,
UBERON:0002335,macula densa,,UBERON:0000074,renal glomerulus,
UBERON:0001287,proximal convoluted tubule,,UBERON:0000074,renal glomerulus,
UBERON:0004189,glomerular endothelium,,UBERON:0000074,renal glomerulus,
CL:0002188,glomerular endothelial cell,,UBERON:0000074,renal glomerulus,
UBERON:0004212,glomerular capillary,,UBERON:0000074,renal glomerulus,
UBERON:0005750,glomerular parietal epithelium,,UBERON:0000074,renal glomerulus,
CL:1000452,parietal epithelial cell,,UBERON:0000074,renal glomerulus,
UBERON:0004639,renal afferent arteriole,,UBERON:0000074,renal glomerulus,
UBERON:0004640,renal efferent arteriole,,UBERON:0000074,renal glomerulus,
CL:1001431,kidney collecting duct principal cell,,UBERON:0001232,collecting duct of renal tubule,
CL:0005011,renal alpha-intercalated cell,,UBERON:0001232,collecting duct of renal tubule,
CL:0002201,renal beta-intercalated cell,,UBERON:0001232,collecting duct of renal tubule,
