Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0004058	biliary ductule	bile duct/ule	CL:0000075	columnar/cuboidal epithelial cell	columnar cell ( larger cholangiocytes are more columnar) has ciliae	HGNC:1884	DOI:10.3748/wjg.v12.i22.3523
UBERON:0001281	hepatic sinusoid	hepatic sinusoid	CL:0000091	Kupffer Cell	Kupffer cell	HGNC:1693, HGNC:1693	DOI:10.1016/j.jhep.2010.04.037
UBERON:0005452	hepatic cord	hepatic plate	CL:0000182	hepatocyte	hepatocyte	HGNC:2625, HGNC:7154, HGNC:42	DOI:10.1097/00000478-200110000-00011|DOI:10.1007/s00424-006-0152-8
UBERON:0004058	biliary ductule	bile duct/ule	CL:0000241	stratified cuboidal epithelial cell	cuboidal cell (Small cholangiocytes are cuboidal)	HGNC:6436, HGNC:6445, HGNC:6436, HGNC:6445	DOI:10.1111/j.1365-2559.2009.03391.x
UBERON:0006729	liver perisinusoidal space	Disse's space	CL:0000632	hepatic stellate cell	quiescent hepatic stellate cell	HGNC:8804, HGNC:4235, HGNC:2770, HGNC:8804, HGNC:4235, HGNC:2770	DOI:10.1038/nm.3282|DOI:10.1136/gut.2005.078865|DOI:10.1002/hep.1840040425|https://www|ncbi|nlm|nih|gov/pmc/articles/PMC3855865/
UBERON:0001282	intralobular bile duct	Canals of Hering	CL:0002196	Hepatic oval cell	hepatic oval cell 	HGNC:11801, HGNC:6342	|DOI:10.1136/gut.2007.143321|DOI:10.1053/gast.2001.21175
UBERON:0006841	central vein of liver	central vein	CL:0002543	vein endothelial cell	endothelial cell	HGNC:8823, HGNC:1662, HGNC:8823, HGNC:1662	DOI:10.1038/srep44356
UBERON:0002017	portal vein	portal vein	CL:0002543	vein endothelial cell	endothelial cell	HGNC:10718, HGNC:1662, HGNC:12726, HGNC:13635	DOI:10.1038/srep44356
UBERON:0001193	hepatic artery	hepatic artery	CL:0019018	blood vessel smooth muscle cell	smooth muscle cell	HGNC:130, HGNC:130	
UBERON:0005452	hepatic cord	hepatic plate	CL:0019026	periportal region hepatocyte	periportal hepatocyte	HGNC:4806, HGNC:2611, HGNC:4806, HGNC:2611	DOI:10.1053/j.gastro.2009.02.063|DOI:10.1038/s42255-019-0109-9
UBERON:0005452	hepatic cord	hepatic plate	CL:0019028	midzonal region hepatocyte	mid zone hepatocyte	HGNC:4806, HGNC:2611, HGNC:2637	
UBERON:0005452	hepatic cord	hepatic plate	CL:0019029	centrilobular region hepatocyte	pericentral hepatocyte	HGNC:4341, HGNC:2637, HGNC:4341, HGNC:2637	DOI:10.1053/j.gastro.2009.02.063|DOI:10.1038/ncb3337|DOI:10.1038/nature14863
UBERON:0001281	hepatic sinusoid	hepatic sinusoid	CL:1000398	endothelial cell of hepatic sinusoid	liver sinusoid endothelial cell	HGNC:8823, HGNC:3349, HGNC:1662, HGNC:8823, HGNC:3349	DOI:10.3748/wjg.v12.i34.5429|https://www|ncbi|nlm|nih|gov/pmc/articles/PMC4088223/
UBERON:0001193	hepatic artery	hepatic artery	CL:1000413	endothelial cell of artery	endothelial cell	HGNC:8823, HGNC:1662, HGNC:8823, HGNC:1662	DOI:10.1038/srep44356
