Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002069	stratum granulosum of epidermis	Stratum granulosum (SG)	CL:0002457	epidermal Langerhans cell	Langerhans cell	HGNC:1634, HGNC:17935, HGNC:7067	DOI:10.1016/S0171-2985(84)80117-5|DOI:10.1111/1523-1747.ep12712175|DOI:10.1016/s1074-7613(00)80160-0|PMID:6397423||PMID:2784820|PMID:10661407
UBERON:0002072	hypodermis	Subcutaneous	CL:0002521	subcutaneous fat cell	Adipocyte	HGNC:10500, HGNC:1435	DOI:10.1101/cshperspect.a015271|DOI:10.1155/2010/790431|DOI:10.1016/j.humpath.2005.11.006|PMID:24591537|PMID:20672003|PMID:16613326
UBERON:0002067	dermis	Dermis	CL:0002573	Schwann cell	Schwann cell	HGNC:10492, HGNC:7809	DOI:10.1111/wrr.12647|DOI:10.1111/j.1365-4362.1984.tb05661.x|DOI:10.1093/brain/awm199|DOI:10.1016/S0065-1281(97)80024-4|PMID:30098299|PMID:6373634||PMID:17898011||PMID:9381913|
UBERON:0002072	hypodermis	Subcutaneous	CL:0002573	Schwann cell	Schwann cell	HGNC:10492, HGNC:7809	DOI:10.1111/wrr.12647|DOI:10.1111/j.1365-4362.1984.tb05661.x|DOI:10.1093/brain/awm199|PMID:30098299|PMID:6373634||PMID:17898011|
UBERON:0002067	dermis	Dermis	CL:0002620	skin fibroblast	Fibroblast	HGNC:12692, HGNC:1662, HGNC:3541	DOI:10.1016/j.tcb.2014.10.001|DOI:10.1111/j.1365-2133.1989.tb15509.x|DOI:10.1074/jbc.M701586200|DOI:10.1097/00000372-199606000-00008|PMID:25455110||PMID:2576222|PMID:17567584|PMID:8806963
UBERON:0002072	hypodermis	Subcutaneous	CL:0002620	skin fibroblast	Fibroblast	HGNC:12692, HGNC:1662, HGNC:3541	DOI:10.1016/j.tcb.2014.10.001|DOI:10.1111/j.1365-2133.1989.tb15509.x|DOI:10.1074/jbc.M701586200|DOI:10.1097/00000372-199606000-00008|PMID:25455110||PMID:2576222|PMID:17567584|PMID:8806963
UBERON:0002067	dermis	Dermis	CL:1000417	myoepithelial cell of sweat gland	myoepithelial cell	HGNC:10492, HGNC:130, HGNC:2155	DOI:10.1247/csf.14009|DOI:10.1247/csf.14009|DOI:10.1097/DAD.0000000000000431|DOI:10.1046/j.1365-2133.1997.17651853.x|PMID:25196208|PMID:25196208|PMID:26630681||PMID:9274623
UBERON:0008974	apocrine gland	Apocrine glands	CL:1000417	myoepithelial cell of sweat gland	myoepithelial cell	HGNC:4172, HGNC:8993	|DOI:10.1083/jcb.95.2.580|DOI:10.1046/j.0022-202x.2001.00005.x|DOI:10.1097/DAD.0000000000000306|PMID:6183275|PMID:11764285|PMID:26595821
UBERON:0000423	eccrine sweat gland	Eccrine (sweat) glands	CL:1000417	myoepithelial cell of sweat gland	myoepithelial cell	HGNC:10492, HGNC:30840, HGNC:6436	DOI:10.1111/exd.12773|DOI:10.1111/1523-1747.ep12277180|DOI:10.1046/j.1365-2133.1997.17651853.x|PMID:26014472|PMID:2414369|PMID:9274623
UBERON:0002025	stratum basale of epidermis	Stratum basale (SB)	CL:1000458	melanocyte of skin	Melanocyte	HGNC:10492, HGNC:11190, HGNC:7124	DOI:10.1038/s41586-020-2785-8|DOI:10.1074/jbc.m309036200|DOI:10.1046/j.1365-2133.1997.17651853.x|DOI:10.1034/j.1600-0854.2002.30909.x|PMID:33029006|PMID:12944398|PMID:9274623|PMID:12191019
