Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0001625	right coronary artery	right coronary artery	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0002348	epicardium	Epicardium	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0002049	vasculature	vasculature	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0005438	coronary sinus	coronary sinus	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0009687	middle cardiac vein	middle cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:8803	
UBERON:0006958	great cardiac vein	great cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0035374	small cardiac vein	small cardiac vein	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0002094	interventricular septum	septum	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0035422	circumflex branch of left coronary artery	left circumflex artery	CL:0000057	fibroblast	fibroblast	HGNC:2705, HGNC:4620, HGNC:8803	
UBERON:0002049	vasculature	vasculature	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:12726, HGNC:1764, HGNC:8823	
UBERON:0002348	epicardium	Epicardium	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:12726, HGNC:1764, HGNC:8823	
UBERON:0002094	interventricular septum	septum	CL:0000071	blood vessel endothelial cell	smooth muscle cell	HGNC:11553, HGNC:130, HGNC:7569	
UBERON:0006958	great cardiac vein	great cardiac vein	CL:0000071	blood vessel endothelial cell	smooth muscle cell	HGNC:11553, HGNC:130, HGNC:7569	
UBERON:0002137	Aortic valve	Aortic valve	CL:0000071	blood vessel endothelial cell	endothelial cell	HGNC:12726, HGNC:1764, HGNC:8823	
UBERON:0009687	middle cardiac vein	middle cardiac vein	CL:0000071	blood vessel endothelial cell	smooth muscle cell	HGNC:11553, HGNC:130, HGNC:7569	
UBERON:0002348	epicardium	Epicardium	CL:0000077	mesothelial cell	mesothelial cell	HGNC:11027, HGNC:11029, HGNC:12796, HGNC:1455	
UBERON:0006566	left ventricle myocardium	myocardium	CL:0000136	fat cell	adipocyte	HGNC:24865, HGNC:3594, HGNC:6553	
UBERON:0002352	atrioventricular node	atrioventricular node	CL:0000136	fat cell	adipocyte	HGNC:24865, HGNC:3594, HGNC:6553	
