Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	Terminal CT/ID	Terminal CT/label	Terminal CT/user_label	Markers	References
UBERON:0002371	Bone marrow	Bone marrow	CL:0000816	immature B cell	immature B cell	HGNC:1633, HGNC:8619, HGNC:5541, HGNC:7315, HGNC:1633, HGNC:7315, HGNC:2336, HGNC:1643, HGNC:11922, HGNC:5541, HGNC:5480	DOI:10.3389/fimmu.2012.00302
UBERON:0002371	Bone marrow	Bone marrow	CL:0000817	precursor B cell	precursor B cell (pre B cell)	HGNC:1633, HGNC:8619, HGNC:5541, HGNC:5480, HGNC:1662, HGNC:6024, HGNC:1633, HGNC:7154	DOI:10.1016/j.exphem.2018.09.004
UBERON:0002371	Bone marrow	Bone marrow	CL:0000818	transitional stage B cell	transitional B cell	HGNC:38476, HGNC:11200, HGNC:1004, HGNC:11648, HGNC:18504, HGNC:1645, HGNC:1674, HGNC:1633, HGNC:1628, HGNC:3619, HGNC:7656, HGNC:6152, HGNC:6012, HGNC:11784, HGNC:26705, HGNC:1636	DOI:10.1073/pnas.172384399
UBERON:0002371	Bone marrow	Bone marrow	CL:0000824	mature natural killer cell	mature Natural killer	HGNC:12253, HGNC:6373, HGNC:2064, HGNC:2479, HGNC:4708, HGNC:4709, HGNC:9360, HGNC:3619, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:6008, HGNC:6106, HGNC:2505	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000826	pro-B cell	pro B progenitor	HGNC:2983, HGNC:7154, HGNC:12709, HGNC:9831, HGNC:1662, HGNC:6024, HGNC:1633, HGNC:7154	DOI:10.1073/pnas.172384399
UBERON:0002371	Bone marrow	Bone marrow	CL:0000836	promyelocyte	promyelocyte	HGNC:7218, HGNC:3309, HGNC:2532, HGNC:9495, HGNC:913, HGNC:500, HGNC:4015, HGNC:11249, HGNC:1820, HGNC:6140, HGNC:6149, HGNC:2334, HGNC:9053, HGNC:3619, HGNC:3613	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000837	hematopoietic multipotent progenitor cell	multipotent progenitor cell (MPP)	HGNC:1662, HGNC:11245, HGNC:3765, HGNC:1639, HGNC:1674, HGNC:1628, HGNC:3619, HGNC:1633, HGNC:7656, HGNC:4702, HGNC:1662, HGNC:1667, HGNC:9666, HGNC:11801	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	HGNC:905, HGNC:10875, HGNC:1643, HGNC:9666, HGNC:11763, HGNC:1663, HGNC:6342, HGNC:3349, HGNC:4702	DOI:10.1182/blood-2004-02-0769
UBERON:0002371	Bone marrow	Bone marrow	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CD4 naive	HGNC:1673, HGNC:12029, HGNC:12156, HGNC:6024, HGNC:30698, HGNC:6711, HGNC:636, HGNC:11935, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
UBERON:0002371	Bone marrow	Bone marrow	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	HGNC:1673, HGNC:12029, HGNC:4054, HGNC:6563, HGNC:26974, HGNC:537, HGNC:2360, HGNC:1674, HGNC:1678, HGNC:1706, HGNC:9666, HGNC:1608	
