Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
Fallopian tube	fallopian tube	UBERON:0003889	intramural segment of Fallopian tube		
intramural segment of Fallopian tube			fluid of Fallopian tube intramural segment		
Fallopian tube	fallopian tube	UBERON:0003889	intramural segment of Fallopian tube	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
intramural segment of Fallopian tube			lamina propria of Fallopian tube intramural segment	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
Fallopian tube	fallopian tube	UBERON:0003889	intramural segment of Fallopian tube	PMID: 25994820	PMID: 25994820
intramural segment of Fallopian tube			lamina propria of Fallopian tube intramural segment	PMID: 25994820	PMID: 25994820
intramural segment of Fallopian tube			lamina propria of Fallopian tube intramural segment		
Fallopian tube	fallopian tube	UBERON:0003889	intramural segment of Fallopian tube	PMID 16938110	PMID 16938110
intramural segment of Fallopian tube			lamina propria of Fallopian tube intramural segment	PMID 16938110	PMID 16938110
intramural segment of Fallopian tube			nerve of Fallopian tube intramural segment		
intramural segment of Fallopian tube			vasculature of Fallopian tube intramural segment	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	fluid of Fallopian tube isthmus		
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	lamina propria of Fallopian tube isthmus	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	lamina propria of Fallopian tube isthmus	PMID: 25994820	PMID: 25994820
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	lamina propria of Fallopian tube isthmus		
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	lamina propria of Fallopian tube isthmus	PMID 16938110	PMID 16938110
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	nerve of Fallopian tube isthmus		
isthmus of Fallopian tube	isthmus of fallopian tube	UBERON:0016632	vasculature of Fallopian tube isthmus	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	fluid of Fallopian tube ampulla		
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	lamina propria Fallopian tube ampulla	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	lamina propria Fallopian tube ampulla	PMID: 25994820	PMID: 25994820
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	lamina propria Fallopian tube ampulla		
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	lamina propria Fallopian tube ampulla	PMID 16938110	PMID 16938110
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	nerve of Fallopian tube ampulla	doi:10.1016/B978-0-12-801238-3.64401-X	doi:10.1016/B978-0-12-801238-3.64401-X
ampulla of Fallopian tube	ampulla of uterine tube	UBERON:0012648	vasculature of Fallopian tube ampulla	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
infundibulum of Fallopian tube	uterine tube infundibulum	UBERON:0003984	fluid of Fallopian tube infundibulum		
infundibulum of Fallopian tube	uterine tube infundibulum	UBERON:0003984	lamina propria of Fallopian tube infundibulum	doi:10.1016/j.celrep.2021.108978	doi:10.1016/j.celrep.2021.108978
infundibulum of Fallopian tube	uterine tube infundibulum	UBERON:0003984	lamina propria of Fallopian tube infundibulum	PMID: 25994820	PMID: 25994820
infundibulum of Fallopian tube	uterine tube infundibulum	UBERON:0003984	lamina propria of Fallopian tube infundibulum		
