Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
Uterus	uterus	UBERON:0000995	superior uterine vein	PMID: 32379930	https://doi.org/10.1111/ajt.15973
Uterus	uterus	UBERON:0000995	inferior uterine vein		
uterine cervix	uterine cervix	UBERON:0000002	cervical mucosa		https://screening.iarc.fr/colpochap.php?lang=1
uterine cervix	uterine cervix	UBERON:0000002	cervical os		https://screening.iarc.fr/colpochap.php?lang=1
uterine cervix	uterine cervix	UBERON:0000002	cervical squamo-columnar junction		https://screening.iarc.fr/colpochap.php?lang=1
body of uterus	body of uterus	UBERON:0009853	central anterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	central anterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
Uterus	uterus	UBERON:0000995	lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			central anterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
body of uterus	body of uterus	UBERON:0009853	central posterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	central posterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			central posterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
body of uterus	body of uterus	UBERON:0009853	left anterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	left anterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			left anterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
body of uterus	body of uterus	UBERON:0009853	left posterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	left posterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			left posterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
endocervix	endocervix	UBERON:0000458	internal cervical os		https://screening.iarc.fr/colpochap.php?lang=1
endocervix	endocervix	UBERON:0000458	endocervical stroma		https://screening.iarc.fr/colpochap.php?lang=1
endocervix	endocervix	UBERON:0000458	columnar cell of endocervix		
ectocervix	ectocervix	UBERON:0012249	external cervical os		https://screening.iarc.fr/colpochap.php?lang=1
ectocervix	ectocervix	UBERON:0012249	ectocervical epithelium		https://screening.iarc.fr/colpochap.php?lang=1
ectocervix	ectocervix	UBERON:0012249	ectocervical stroma		https://screening.iarc.fr/colpochap.php?lang=1
body of uterus	body of uterus	UBERON:0009853	right anterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	right anterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			right anterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
body of uterus	body of uterus	UBERON:0009853	right posterior body of uterus		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	right posterior fundus of uterus		https://doi.org/10.1101/2021.01.02.425073
lower uterine segment			right posterior lower uterine segment		https://doi.org/10.1101/2021.01.02.425073
body of uterus	body of uterus	UBERON:0009853	central anterior body of uterus		
serosa of the uterus		UBERON:0001297	connective tissue of the uterine serosa		
serosa of the uterus		UBERON:0001297	mesothelium of the uterine serosa		
body of uterus	body of uterus	UBERON:0009853	central anterior body of uterus	PMID: 24243625 ; PMID: 23445904	
uterine myometrium		UBERON:0001296	inner uterine myometrium	PMID: 24243625 ; PMID: 23445904	
uterine myometrium		UBERON:0001296	outer uterine myometrium		https://doi.org/10.1101/2021.01.02.425073
fundus of uterus	Fundus of uterus	FMA:17561	central anterior fundus of uterus		
fundus of uterus	Fundus of uterus	FMA:17561	central anterior fundus of uterus	PMID: 24243625 ; PMID: 23445904	
Uterus	uterus	UBERON:0000995	lower uterine segment		
lower uterine segment			central anterior lower uterine segment		
Uterus	uterus	UBERON:0000995	lower uterine segment	PMID: 24243625 ; PMID: 23445904	
lower uterine segment			central anterior lower uterine segment	PMID: 24243625 ; PMID: 23445904	
body of uterus	body of uterus	UBERON:0009853	central posterior body of uterus		
body of uterus	body of uterus	UBERON:0009853	central posterior body of uterus	PMID: 24243625 ; PMID: 23445904	
fundus of uterus	Fundus of uterus	FMA:17561	central posterior fundus of uterus		
