s	slabel	user_slabel	o	olabel	user_olabel	row_number
CL:0000359	vascular associated smooth muscle cell	vascular associated smooth muscle cell	UBERON:0001431	distal carpal bone 2	vascular smooth muscle	23
CL:0000669	pericyte	perictye	UBERON:0002441	cervicothoracic ganglion	pericyte	24
CL:0002138	endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	UBERON:0004167	orbitofrontal cortex	lymphatic endothelial cell	22
CL:0002340	luminal cell of prostate epithelium	luminal epithelia	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	12
CL:0002341	basal cell of prostate epithelium	basal epithelia	UBERON:0004179	Prostate Glandular Acinus	Prostate Glandular Acinus	13
CL:0005006	ionocyte	ionocyte epithelia	UBERON:0000428	prostate epithelium	prostate epithelium	15
CL:1000299	fibroblast of connective tissue of prostate	interstitial fibroblast	UBERON:0004184	prostate gland stroma	prostate stroma	18
CL:1000301	fibroblast of subepithelial connective tissue of prostatic gland	periprostatic fibroblast	UBERON:0004184	prostate gland stroma	prostate stroma	17
CL:1000487	smooth muscle cell of prostate	prostate smooth muscle	UBERON:0004243	prostate gland smooth muscle	prostate gland smooth muscle	16
CL:4032000	club-like cell of the urethral epithelium	club epithelia	UBERON:0001335	prostatic urethra	prostatic urethra	26
