term	image_url
UBERON:0001602	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0001603	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0001605	http://upload.wikimedia.org/wikipedia/commons/2/28/Gray872.png
UBERON:0001608	http://upload.wikimedia.org/wikipedia/commons/2/2f/Gray878.png
UBERON:0002380	http://upload.wikimedia.org/wikipedia/commons/6/60/Trapezius.png
UBERON:0002381	https://upload.wikimedia.org/wikipedia/commons/6/6c/Pectoralis_major.png
UBERON:0002382	https://upload.wikimedia.org/wikipedia/commons/9/95/Rectus_abdominis.png
UBERON:0002383	http://upload.wikimedia.org/wikipedia/commons/9/99/Arm_muscles_back_numbers.png
UBERON:0002403	http://upload.wikimedia.org/wikipedia/commons/f/f2/Gray411.png
UBERON:0002962	http://upload.wikimedia.org/wikipedia/commons/d/df/Musculusadductorpollicis.png
UBERON:0002989	http://upload.wikimedia.org/wikipedia/commons/7/77/Gray1232.png
UBERON:0003222	http://upload.wikimedia.org/wikipedia/commons/5/53/Gray421.png
UBERON:0003228	http://upload.wikimedia.org/wikipedia/commons/c/c6/Gray420.png
UBERON:0003234	http://upload.wikimedia.org/wikipedia/commons/3/3e/Extensor_pollicis_longus_muscle.png
UBERON:0003250	http://upload.wikimedia.org/wikipedia/commons/b/b7/Rectus_capitis_lateralis_muscle.PNG
UBERON:0003681	http://upload.wikimedia.org/wikipedia/commons/4/4d/Gray781.png
UBERON:0003682	http://upload.wikimedia.org/wikipedia/commons/c/c7/Gray1028.png
UBERON:0005441	http://upload.wikimedia.org/wikipedia/commons/f/f2/Gray411.png
UBERON:0005442	http://upload.wikimedia.org/wikipedia/commons/3/32/Illu_trunk_muscles.jpg
UBERON:0005461	https://upload.wikimedia.org/wikipedia/commons/b/bc/Levator_scapulae.png
UBERON:0005467	http://upload.wikimedia.org/wikipedia/commons/f/fb/Platysma.png
UBERON:0006320	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0006321	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0006322	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0006323	http://upload.wikimedia.org/wikipedia/commons/e/e8/Eyemuscles.png
UBERON:0006718	http://upload.wikimedia.org/wikipedia/commons/e/ec/Musculuspterygoideusmedialis.png
UBERON:0006719	http://upload.wikimedia.org/wikipedia/commons/b/bb/Musculuspterygoideuslateralis.png
UBERON:0007614	http://upload.wikimedia.org/wikipedia/commons/1/15/Gray424.png
UBERON:0008446	http://upload.wikimedia.org/wikipedia/commons/7/72/FPL.png
UBERON:0008454	http://upload.wikimedia.org/wikipedia/commons/d/dd/Rectus_capitis_posterior_major_muscle.PNG
UBERON:0008464	https://upload.wikimedia.org/wikipedia/commons/b/bf/Abductor_hallucis.png
UBERON:0008465	http://upload.wikimedia.org/wikipedia/commons/7/77/Musculusabductorpollicisbrevis.png
UBERON:0008488	http://upload.wikimedia.org/wikipedia/commons/6/67/Gray1143.png
UBERON:0008521	http://upload.wikimedia.org/wikipedia/commons/5/55/Posterior_Hip_Muscles_1.PNG
UBERON:0008523	https://upload.wikimedia.org/wikipedia/commons/4/48/Infrahyoid_muscles.png
