Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
frontal lobe	frontal lobe	UBERON:0016525	frontomarginal gyrus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitoparietal transition region	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitotemporal transition region	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
occipital lobe	occipital lobe	UBERON:0002021	occipitotemporal (fusiform) gyrus, occipital part	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
cingulate gyrus	cingulate gyrus	UBERON:0002967	cingulate gyrus, retrospleninal part	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hippocampal gyrus (formation)	hippocampal formation	UBERON:0002421	head of hippocampus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hippocampal gyrus (formation)	hippocampal formation	UBERON:0002421	body of hippocampus	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
basal forebrain	basal forebrain	UBERON:0002743	septal nuclei	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
hypothalamus	hypothalamus	UBERON:0001898	tuberal region	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
lateral ventricles	telencephalic ventricle	UBERON:0002285	atrium of lateral ventricle	"Ding, Song-Lin et al. 2016, ""Comprehensive cellular-resolution atlas of the adult human brain."" J Comp Neurol. 524(16): 3127-481. https://doi.org/10.1002/cne.24080"	DOI: 10.1002/cne.24080
inferior frontal sulcus	inferior frontal sulcus	UBERON:0002761	ifs1	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
inferior frontal sulcus	inferior frontal sulcus	UBERON:0002761	ifs2	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
inferior frontal sulcus	inferior frontal sulcus	UBERON:0002761	ifs3	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
inferior frontal sulcus	inferior frontal sulcus	UBERON:0002761	ifs4	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
frontal lobe	frontal lobe	UBERON:0016525	inferior frontal junction	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
inferior frontal junction	inferior frontal junction		ifj1	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
inferior frontal junction	inferior frontal junction		ifj2	"Ruland, Sabine H. et al. 2022, ""The inferior frontal sulcus: Cortical segregation, molecular architecture and function."" Cortex. 153: 235-256. https://doi.org/10.1016/j.cortex.2022.03.019"	DOI: 10.1016/j.cortex.2022.03.019
gray matter of forebrain	gray matter of forebrain	UBERON:0019264	thalamus	"Siletti, Kimberly et al. 2022. ""Transcriptomic diversity of cell types across the adult human brain."" bioRxiv. https://doi.org/10.1101/2022.10.12.511898"	DOI: 10.1101/2022.10.12.511898
gray matter of forebrain	gray matter of forebrain	UBERON:0019264	amygdaloid complex	"Siletti, Kimberly et al. 2022. ""Transcriptomic diversity of cell types across the adult human brain."" bioRxiv. https://doi.org/10.1101/2022.10.12.511898"	DOI: 10.1101/2022.10.12.511898
