s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0002384	connective tissue	connective tissue	UBERON:0002122	capsule of thymus	capsule of thymus
UBERON:0001021	nerve	nerve	UBERON:0002122	capsule of thymus	capsule of thymus
CL:3000002	sympathetic noradrenergic neuron	sympathetic noradrenergic neuron	UBERON:0001021	nerve	nerve
UBERON:0004791	thymus trabecula	thymus trabecula	UBERON:0002122	capsule of thymus	capsule of thymus
UBERON:0001021	nerve	nerve	UBERON:0004791	thymus trabecula	thymus trabecula
UBERON:0018243	thymic artery	thymic artery	UBERON:0004791	thymus trabecula	thymus trabecula
UBERON:0001013	adipose tissue	adipose tissue	UBERON:0004791	thymus trabecula	thymus trabecula
UBERON:0002384	connective tissue	connective tissue	UBERON:0004791	thymus trabecula	thymus trabecula
CL:0000764	erythroid lineage cell	erythroid lineage cell	UBERON:0004791	thymus trabecula	thymus trabecula
CL:0000097	mast cell	mast cell	UBERON:0004791	thymus trabecula	thymus trabecula
CL:0000771	eosinophil	eosinophil	UBERON:0004791	thymus trabecula	thymus trabecula
UBERON:0002125	thymus lobule	thymus lobule	UBERON:0005483	thymus lobe	thymus lobe
UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium	UBERON:0002125	thymus lobule	thymus lobule
UBERON:0003846	thymus epithelium	thymus epithelium	UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium
CL:0002425	early T lineage precursor	early T lineage precursor	UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium
CL:0000883	thymic cortical macrophage	thymic cortical macrophage	UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium
UBERON:0001021	nerve	nerve	UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium
UBERON:0018243	thymic artery	thymic artery	UBERON:0006936	thymus subcapsular epithelium	thymus subcapsular epithelium
UBERON:0002123	cortex of thymus	cortex of thymus	UBERON:0002125	thymus lobule	thymus lobule
CL:0000809	double-positive, alpha-beta thymocyte	double-positive, alpha-beta thymocyte	UBERON:0002123	cortex of thymus	cortex of thymus
CL:0000942	thymic plasmacytoid dendritic cell	thymic plasmacytoid dendritic cell	UBERON:0002123	cortex of thymus	cortex of thymus
CL:0000764	erythroid lineage cell	erythroid lineage cell	UBERON:0002123	cortex of thymus	cortex of thymus
UBERON:0001021	nerve	nerve	UBERON:0002123	cortex of thymus	cortex of thymus
UBERON:0018243	thymic artery	thymic artery	UBERON:0002123	cortex of thymus	cortex of thymus
UBERON:0003846	thymus epithelium	thymus epithelium	UBERON:0002123	cortex of thymus	cortex of thymus
CL:0002364	cortical thymic epithelial cell	cortical thymic epithelial cell	UBERON:0003846	thymus epithelium	thymus epithelium
CL:0000970	unswitched memory B cell	unswitched memory B cell	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000972	class switched memory B cell	class switched memory B cell	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000980	plasmablast	plasmablast	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000786	plasma cell	plasma cell	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000771	eosinophil	eosinophil	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000576	monocyte	monocyte	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0002436	mature CD4 single-positive thymocyte	mature CD4 single-positive thymocyte	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0002437	mature CD8 single-positive thymocyte	mature CD8 single-positive thymocyte	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0001070	beige adipocyte	beige adipocyte	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
UBERON:0018243	thymic artery	thymic artery	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
UBERON:0001591	thymic vein	thymic vein	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:3000002	sympathetic noradrenergic neuron	sympathetic noradrenergic neuron	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0000866	thymic macrophage	thymic macrophage	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0002059	CD8alpha-positive thymic conventional dendritic cell	CD8alpha-positive thymic conventional dendritic cell	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0002460	CD8alpha-negative thymic conventional dendritic cell	CD8alpha-negative thymic conventional dendritic cell	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
UBERON:0010397	efferent lymphatic vessel	efferent lymphatic vessel	UBERON:0003988	thymus corticomedullary boundary	thymus corticomedullary boundary
CL:0002138	endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	UBERON:0010397	efferent lymphatic vessel	efferent lymphatic vessel
UBERON:0002124	medulla of thymus	medulla of thymus	UBERON:0002125	thymus lobule	thymus lobule
CL:0002436	mature CD4 single-positive thymocyte	mature CD4 single-positive thymocyte	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000934	CD4-positive, alpha-beta cytotoxic T cell	CD4-positive, alpha-beta cytotoxic T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000897	CD4-positive, alpha-beta memory T cell	CD4-positive, alpha-beta memory T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0002437	mature CD8 single-positive thymocyte	mature CD8 single-positive thymocyte	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000909	CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0002038	T follicular helper cell	T follicular helper cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0002677	naive regulatory T cell	naive regulatory T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000798	gamma-delta T cell	gamma-delta T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000899	T-helper 17 cell	T-helper 17 cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000940	mucosal invariant T cell	mucosal invariant T cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000914	immature NK T cell	immature NKT cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0002059	CD8alpha-positive thymic conventional dendritic cell	CD8alpha-positive thymic conventional dendritic cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0002460	CD8alpha-negative thymic conventional dendritic cell	CD8alpha-negative thymic conventional dendritic cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000942	thymic plasmacytoid dendritic cell	thymic plasmacytoid dendritic cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000788	naive B cell	naive B cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0001078	group 3 innate lymphoid cell, human	group 3 innate lymphoid cell, human	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000623	natural killer cell	natural killer cell	UBERON:0002124	medulla of thymus	medulla of thymus
CL:0000771	eosinophil	eosinophil	UBERON:0002124	medulla of thymus	medulla of thymus
UBERON:0001021	nerve	nerve	UBERON:0002124	medulla of thymus	medulla of thymus
UBERON:0001591	thymic vein	thymic vein	UBERON:0002124	medulla of thymus	medulla of thymus
UBERON:0003846	thymus epithelium	thymus epithelium	UBERON:0002124	medulla of thymus	medulla of thymus
