s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0002114	duodenum	duodenum	UBERON:0002108	Small Intestine	small intestine
UBERON:0008346	duodenal epithelium	duodenal epithelium	UBERON:0000320	duodenal mucosa	duodenal mucosa
UBERON:0015834	duodenum lamina propria	duodenum lamina propria	UBERON:0000320	duodenal mucosa	duodenal mucosa
UBERON:0000400	jejunal epithelium	jejunal epithelium	UBERON:0000399	jejunal mucosa	jejunal mucosa
