s	slabel	user_slabel	o	olabel	user_olabel
CL:1000388	brush	brush cell of epithelium of trachea	UBERON:0001901	epithelium of trachea	epithelium of trachea
CL:0002145	ciliated columnar cell of tracheobronchial tree	ciliated columnar cell of tracheobronchial tree	UBERON:0001901	epithelium of trachea	epithelium of trachea
CL:0002600	smooth muscle cell of trachea	smooth muscle cell of trachea	UBERON:0003387	smooth muscle of trachea	smooth muscle of trachea
CL:0000185	myoepithelial cell	myoepithelial cells of glands	UBERON:0003604	trachea cartilage	trachea gland
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	UBERON:0003126	Trachea	Trachea
CL:1000413	endothelial cell of artery	arterial endothelial cell	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0007149	inferior thyroid artery	bronchial artery	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	UBERON:0007149	inferior thyroid artery	bronchial artery
CL:1000413	endothelial cell of artery	arterial endothelial cell	UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium
UBERON:0002040	bronchial artery	bronchial artery	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0012416	respiratory system arterial smooth muscle	lung arterial smooth muscle	UBERON:0002040	bronchial artery	bronchial artery
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0012416	respiratory system arterial smooth muscle	lung arterial smooth muscle
UBERON:0002040	inferior thyroid vein	inferior thyroid vein	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0007156	inferior thyroid vein	bronchial vein	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	UBERON:0007156	inferior thyroid vein	bronchial vein
UBERON:0001592	bronchial vein	bronchial vein	UBERON:0003505	trachea blood vessel	trachea blood vessel
UBERON:0012418	respiratory system venous smooth muscle	lung venous smooth muscle	UBERON:0001592	bronchial vein	bronchial vein
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0012418	respiratory system venous smooth muscle	lung venous smooth muscle
UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus	UBERON:0002177	Right Main Bronchus	Right Main Bronchus
CL:0002332	ciliated cell of the bronchus	ciliated cell of the bronchus	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0002329	basal epithelial cell of tracheobronchial tree	basal epithelial cell of tracheobronchial tree	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:1000143	lung goblet cell	lung goblet cell	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:1000223	lung neuroendocrine cell	lung neuroendocrine cell	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0002075	brush cell of trachebronchial tree	brush cell of tracheobronchial tree	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0017000	pulmonary ionocyte	pulmonary ionocyte	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:1000331	serous cell of epithelium of bronchus	serous cell of epithelium of bronchus	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
UBERON:0004242	bronchus smooth muscle	bronchus smooth muscle	UBERON:0002177	Right Main Bronchus	Right Main Bronchus
CL:0002598	bronchial smooth muscle cell	bronchial smooth muscle cell	UBERON:0004242	bronchus smooth muscle	bronchus smooth muscle
UBERON:0001102	cartilage of main bronchus	cartilage of main bronchus	UBERON:0002177	Right Main Bronchus	Right Main Bronchus
CL:0019002	tracheobronchial chondrocyte	tracheobronchial chondrocyte	UBERON:0001102	cartilage of main bronchus	cartilage of main bronchus
UBERON:0004889	lobar bronchus vasculature	lobar bronchus vasculature	UBERON:0002177	Right Main Bronchus	Right Main Bronchus
CL:1000413	endothelial cell of artery	arterial endothelial cell	UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium
CL:0019018	blood vessel smooth muscle cell	blood vessel smooth muscle cell	UBERON:0004696	venous system smooth muscle	venous system smooth muscle
UBERON:0019190	mucous gland of lung	mucous gland of lung	UBERON:0002177	Right Main Bronchus	Right Main Bronchus
CL:0000185	myoepithelial cell	myoepithelial cells of glands	UBERON:0019190	mucous gland of lung	mucous gland of lung
UBERON:0005317	pulmonary artery endothelium	Pulmonary artery endothelium	UBERON:0001651	right pulmonary artery	right pulmonary artery
CL:0002591	smooth muscle cell of the pulmonary artery	smooth muscle cell of pulmonary artery	UBERON:0001651	right pulmonary artery	right pulmonary artery
CL:0002557	fibroblast of pulmonary artery	fibroblast of pulmonary artery	UBERON:0001651	right pulmonary artery	right pulmonary artery
UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus	UBERON:0002178	Left Main Bronchus	Left Main Bronchus
UBERON:0004242	bronchus smooth muscle	bronchus smooth muscle	UBERON:0002178	Left Main Bronchus	Left Main Bronchus
UBERON:0001102	cartilage of main bronchus	cartilage of main bronchus	UBERON:0002178	Left Main Bronchus	Left Main Bronchus
UBERON:0004889	lobar bronchus vasculature	lobar bronchus vasculature	UBERON:0002178	Left Main Bronchus	Left Main Bronchus
UBERON:0002040	bronchial artery	bronchial artery	UBERON:0004889	lobar bronchus vasculature	lobar bronchus vasculature
UBERON:0004848	respiratory system arterial endothelium	respiratory system arterial endothelium	UBERON:0002040	bronchial artery	bronchial artery
UBERON:0004695	arterial system smooth muscle	arterial system smooth muscle	UBERON:0002040	bronchial artery	bronchial artery
UBERON:0001592	bronchial vein	bronchial vein	UBERON:0004889	lobar bronchus vasculature	lobar bronchus vasculature
UBERON:0004849	respiratory system venous endothelium	respiratory system venous endothelium	UBERON:0001592	bronchial vein	bronchial vein
UBERON:0004696	venous system smooth muscle	venous system smooth muscle	UBERON:0001592	bronchial vein	bronchial vein
UBERON:0019190	mucous gland of lung	mucous gland of lung	UBERON:0002178	Left Main Bronchus	Left Main Bronchus
UBERON:0005317	pulmonary artery endothelium	Pulmonary artery endothelium	UBERON:0001652	left pulmonary artery	left pulmonary artery
CL:0002591	smooth muscle cell of the pulmonary artery	smooth muscle cell of pulmonary artery	UBERON:0001652	left pulmonary artery	left pulmonary artery
CL:0002557	fibroblast of pulmonary artery	fibroblast of pulmonary artery	UBERON:0001652	left pulmonary artery	left pulmonary artery
CL:0002332	ciliated cell of the bronchus	ciliated cell of the bronchus	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:1000223	lung neuroendocrine cell	lung neuroendocrine cell	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0017000	pulmonary ionocyte	pulmonary ionocyte	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0019019	tracheobronchial smooth muscle cell	tracheobronchial smooth muscle cell	UBERON:0004884	lobar bronchus mesenchyme	lobar bronchus mesenchyme
UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus	UBERON:0002184	segmental bronchus	Right Apical Segmental Bronchus
CL:0000158	club cell	club cell of bronchiole	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
CL:0002332	ciliated cell of the bronchus	ciliated cell of the bronchus	UBERON:0002339	epithelium of lobar bronchus	epithelium of lobar bronchus
UBERON:0004242	bronchus smooth muscle	bronchus smooth muscle	UBERON:0002184	segmental bronchus	Right Apical Segmental Bronchus
UBERON:0004884	lobar bronchus mesenchyme	lobar bronchus mesenchyme	UBERON:0002184	segmental bronchus	Right Apical Segmental Bronchus
UBERON:0001102	cartilage of main bronchus	cartilage of main bronchus	UBERON:0002184	segmental bronchus	Right Apical Segmental Bronchus
UBERON:0004889	lobar bronchus vasculature	lobar bronchus vasculature'	UBERON:0002184	segmental bronchus	Right Apical Segmental Bronchus
