s	slabel	user_slabel	o	olabel	user_olabel
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410042	arteriole of lymph node	Arteriole
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410041	venule of lymph node	Venule
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410038	high endothelial venule of lymph node	High Endothelial Venule
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410035	medullary arteriole of lymph node	Arteriole
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410036	medullary venule of lymph node	Venule
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410034	lymph node artery	Lymphatic Artery
CL:0000071	blood vessel endothelial cell	Blood Vessel Endothelial Cell	UBERON:8410033	lymph node vein	Hilar Vein
CL:0000235	macrophage	Macrophage	UBERON:0009744	lymph node medullary sinus	Medullary Sinus
CL:0000788	naive B cell	Naive B Cell	UBERON:0010395	lymph node primary follicle	Primary Follicle
