s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0004134	proximal tubule	Proximal Tubule	UBERON:0001231	nephron tubule	Tubules
UBERON:0001289	descending limb of loop of Henle	Loop of Henle (Thin Limb)	UBERON:0001231	nephron tubule	Tubules
UBERON:0004193	loop of Henle ascending limb thin segment	Loop of Henle (Thin Limb)	UBERON:0001231	nephron tubule	Tubules
UBERON:0001291	thick ascending limb of loop of Henle	Loop of Henle (Thick Limb/ Cortex)	UBERON:0001231	nephron tubule	Tubules
UBERON:0001292	distal convoluted tubule	Distal Convolution	UBERON:0001231	nephron tubule	Tubules
UBERON:0005097	renal connecting tubule	Connecting Tubule	UBERON:0001231	nephron tubule	Tubules
UBERON:0002015	kidney capsule	kidney capsule	UBERON:0002113	kidney	kidney
UBERON:0001225	cortex of kidney	cortex of kidney	UBERON:0002113	kidney	kidney
UBERON:0004202	kidney outer medulla outer stripe	kidney outer medulla outer stripe	UBERON:0000362	renal medulla	renal medulla
UBERON:0004201	kidney outer medulla inner stripe	kidney outer medulla inner stripe	UBERON:0000362	renal medulla	renal medulla
UBERON:0001226	major calyx	major calyx	UBERON:0001224	renal pelvis	renal pelvis
UBERON:0001227	minor calyx	minor calyx	UBERON:0001224	renal pelvis	renal pelvis
UBERON:0001285	nephron	nephron	UBERON:0002113	kidney	kidney
UBERON:0004188	glomerular epithelium	Glomerular Epithelium	UBERON:0001229	renal corpuscle	Renal Corpuscle
UBERON:0004190	renal glomerulus vasculature	Glomerulus Vasculature	UBERON:0001229	renal corpuscle	Renal Corpuscle
UBERON:0004294	glomerular capillary endothelium	glomerular capillary endothelium	UBERON:0004190	renal glomerulus vasculature	Glomerulus Vasculature
UBERON:0002319	mesangium	Mesangium	UBERON:0001229	renal corpuscle	Renal Corpuscle
UBERON:0001231	nephron tubule	Tubules	UBERON:0001285	nephron	nephron
UBERON:0004196	proximal convoluted tubule segment 1	proximal convoluted tubule segment 1	UBERON:0004134	proximal tubule	Proximal Tubule
UBERON:0004197	proximal convoluted tubule segment 2	proximal convoluted tubule segment 2	UBERON:0004134	proximal tubule	Proximal Tubule
UBERON:0012441	endothelium of peritubular capillary	Endothelium/cortex (non glomerular)	UBERON:0006544	kidney vasculature	Vessels
