s	slabel	user_slabel	o	olabel	user_olabel
CL:0000057	fibroblast	fibroblast	UBERON:0035374	small cardiac vein	small cardiac vein
CL:0000057	fibroblast	fibroblast	UBERON:0002084	heart left ventricle	heart left ventricle
CL:0000057	fibroblast	fibroblast	UBERON:0009687	middle cardiac vein	middle cardiac vein
CL:0000057	fibroblast	fibroblast	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000057	fibroblast	fibroblast	UBERON:0002094	interventricular septum	interventricular septum
CL:0000057	fibroblast	fibroblast	UBERON:0001625	right coronary artery	right coronary artery
CL:0000057	fibroblast	fibroblast	UBERON:0005438	coronary sinus	coronary sinus
CL:0000057	fibroblast	fibroblast	UBERON:0011820	atrioventricular region	atrioventricular region
CL:0000057	fibroblast	fibroblast	UBERON:0035422	circumflex branch of left coronary artery	circumflex branch of left coronary artery
CL:0000057	fibroblast	fibroblast	UBERON:0006958	great vein of heart	great cardiac vein
CL:0000057	fibroblast	fibroblast	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000057	fibroblast	fibroblast	UBERON:0002348	Epicardium	epicardium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002137	Aortic valve	Aortic valve
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002094	interventricular septum	interventricular septum
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002084	heart left ventricle	heart left ventricle
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002348	Epicardium	epicardium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002134	Tricuspid valve	Tricuspid valve
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002135	Mitral valve	Mitral valve
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002146	Pulmonary Valve	Pulmonary Valve
CL:0000136	fat cell	fat cell	UBERON:0002352	atrioventricular node	atrioventricular node
CL:0000136	fat cell	fat cell	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000136	fat cell	fat cell	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000136	fat cell	fat cell	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0000136	fat cell	fat cell	UBERON:0002094	interventricular septum	interventricular septum
CL:0000235	macrophage	macrophage	UBERON:0002094	interventricular septum	interventricular septum
CL:0000235	macrophage	macrophage	UBERON:0006567	right ventricle myocardium	right ventricle myocardium
CL:0000235	macrophage	macrophage	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000235	macrophage	macrophage	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000235	macrophage	macrophage	UBERON:0002348	Epicardium	epicardium
CL:0000235	macrophage	macrophage	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000235	macrophage	macrophage	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0000359	vascular associated smooth muscle cell	vascular associated smooth muscle cell	UBERON:0005438	coronary sinus	coronary sinus
CL:0000359	vascular associated smooth muscle cell	vascular associated smooth muscle cell	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000359	vascular associated smooth muscle cell	vascular associated smooth muscle cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000359	vascular associated smooth muscle cell	vascular associated smooth muscle cell	UBERON:0002348	Epicardium	epicardium
CL:0000542	lymphocyte	lymphocyte	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0000542	lymphocyte	lymphocyte	UBERON:0002094	interventricular septum	interventricular septum
CL:0000542	lymphocyte	lymphocyte	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000542	lymphocyte	lymphocyte	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000542	lymphocyte	lymphocyte	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000542	lymphocyte	lymphocyte	UBERON:0002348	Epicardium	epicardium
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0001056	dendritic cell, human	dendritic cell, human	UBERON:0002079	left cardiac atrium	left cardiac atrium
CL:0001056	dendritic cell, human	dendritic cell, human	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0001056	dendritic cell, human	dendritic cell, human	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0001056	dendritic cell, human	dendritic cell, human	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0001056	dendritic cell, human	dendritic cell, human	UBERON:0002094	interventricular septum	interventricular septum
CL:0002573	Schwann Cell	Schwann cell	UBERON:0002348	Epicardium	epicardium
CL:0002592	smooth muscle cell of the coronary artery	smooth muscle cell of the coronary artery	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0002592	smooth muscle cell of the coronary artery	smooth muscle cell of the coronary artery	UBERON:0035422	circumflex branch of left coronary artery	circumflex branch of left coronary artery
