s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0001069	head of pancreas	Head of pancreas
UBERON:0001978	parenchyma of pancreas	Parenchyma of pancreas	UBERON:0007324	pancreatic lobule	Pancreas lobule
UBERON:0000017	exocrine pancreas	Exocrine pancreas	UBERON:0001978	parenchyma of pancreas	Parenchyma of pancreas
UBERON:0004915	sphincter of hepatopancreatic ampulla		UBERON:0001064	ventral pancreatic duct	Main pancreatic duct (Duct of Wirsung)
UBERON:0012271	major duodenal papilla		UBERON:0001064	ventral pancreatic duct	Main pancreatic duct (Duct of Wirsung)
CL:1001433	epithelial cell of exocrine pancreas	Tall columnar epithelial cell	CL:0002079	pancreatic ductal cell	Ductal cell
CL:0000146	simple columnar epithelial cell		CL:1001433	epithelial cell of exocrine pancreas	Tall columnar epithelial cell
UBERON:0004913	hepatopancreatic ampulla		UBERON:0001064	ventral pancreatic duct	Main pancreatic duct (Duct of Wirsung)
UBERON:0014716	interlobular duct	Intralobular duct	UBERON:0001064	ventral pancreatic duct	Main pancreatic duct (Duct of Wirsung)
UBERON:0014719	intralobular duct	Intercalated duct	UBERON:0014716	interlobular duct	Intralobular duct
CL:0002080	pancreatic centro-acinar cell	Flat epithelial cells	CL:0002079	pancreatic ductal cell	Ductal cell
CL:1000322	pancreatic goblet cell		CL:0002079	pancreatic ductal cell	Ductal cell
CL:0002204	brush cell		CL:0002079	pancreatic ductal cell	Ductal cell
CL:0000577	type EC enteroendocrine cell		CL:0002079	pancreatic ductal cell	Ductal cell
UBERON:0001174	common bile duct	Hepatopancreatic ampulla	UBERON:2005346	extrapancreatic duct	Extrapancreatic duct
UBERON:0000016	endocrine pancreas	Endocrine pancreas	UBERON:0001978	parenchyma of pancreas	Parenchyma of pancreas
CL:0005019	pancreatic epsilon cell		CL:0008024	pancreatic endocrine cell	Endocrine cell
CL:0000509	gastrin secreting cell		CL:0008024	pancreatic endocrine cell	Endocrine cell
UBERON:0018234	stroma of pancreas	Stroma of pancreas	UBERON:0007324	pancreatic lobule	Pancreas lobule
CL:0000057	fibroblast	Pancreatic stellate cell	CL:0002574	stromal cell of pancreas	Stromal cell
UBERON:0015454	pancreatic fat pad	Pancreatic fat pad	UBERON:0018234	stroma of pancreas	Stroma of pancreas
UBERON:0009752	pancreas mesenchyme	Connective tissue	UBERON:0018234	stroma of pancreas	Stroma of pancreas
UBERON:0009709	ventral pancreas	Ventral pancreas	UBERON:0001069	head of pancreas	Head of pancreas
UBERON:0010373	uncinate process of pancreas	Uncinate process of pancreas	UBERON:0009709	ventral pancreas	Ventral pancreas
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0010373	uncinate process of pancreas	Uncinate process of pancreas
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0009709	ventral pancreas	Ventral pancreas
UBERON:0009708	dorsal pancreas	Dorsal pancreas	UBERON:0001069	head of pancreas	Head of pancreas
UBERON:0012271	major duodenal papilla		UBERON:0001174	common bile duct	Hepatopancreatic ampulla
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0009708	dorsal pancreas	Dorsal pancreas
UBERON:0004913	hepatopancreatic ampulla		UBERON:0001174	common bile duct	Hepatopancreatic ampulla
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0001150	body of pancreas	Body of pancreas
UBERON:0007324	pancreatic lobule	Pancreas lobule	UBERON:0001151	tail of pancreas	Tail of pancreas
