s	slabel	user_slabel	o	olabel	user_olabel
CL:2000053	splenic endothelial cell		UBERON:0001194	splenic artery	
CL:2000053	splenic endothelial cell		UBERON:0013132	penicillar arteriole	
CL:0000788	naive B cell		UBERON:0013132	penicillar arteriole	
CL:0000787	memory B cell		UBERON:0013132	penicillar arteriole	
CL:0000972	class switched memory B cell		UBERON:0013132	penicillar arteriole	
CL:2000053	splenic endothelial cell		UBERON:0001250	red pulp of spleen	Splenic Cord
CL:0000874	splenic red pulp macrophage		UBERON:0001250	red pulp of spleen	Splenic Cord
CL:0000788	naive B cell		UBERON:0001250	red pulp of spleen	Splenic Cord
CL:0000787	memory B cell		UBERON:0001250	red pulp of spleen	Splenic Cord
CL:0000972	class switched memory B cell		UBERON:0001250	red pulp of spleen	Splenic Cord
CL:2000053	splenic endothelial cell		UBERON:0003713	splenic vein	
CL:0000874	splenic red pulp macrophage		UBERON:0001266	splenic cord	
CL:0000037	hematopoietic stem cell		UBERON:0001266	splenic cord	
CL:0001055	CD14-positive, CD16-low monocyte		UBERON:0001266	splenic cord	
CL:0000232	erythrocyte		UBERON:0001266	splenic cord	
CL:0000625	CD8-positive, alpha-beta T cell		UBERON:0001266	splenic cord	
CL:0000909	CD8-positive, alpha-beta memory T cell		UBERON:0001266	splenic cord	
CL:0000786	plasma cell		UBERON:0001266	splenic cord	
CL:0000980	plasmablast		UBERON:0001266	splenic cord	
CL:0001056	dendritic cell, human		UBERON:0001266	splenic cord	
CL:0000233	platelet		UBERON:0001266	splenic cord	
CL:0000623	natural killer cell		UBERON:0001266	splenic cord	
CL:1000489	reticular cell of splenic cord		UBERON:0001266	splenic cord	
CL:0000232	erythrocyte		UBERON:0005353	spleen perifollicular zone	
CL:0001055	CD14-positive, CD16-low monocyte		UBERON:0005353	spleen perifollicular zone	
CL:0000775	neutrophil		UBERON:0005353	spleen perifollicular zone	
CL:0002394	CD141-positive myeloid dendritic cell		UBERON:0005353	spleen perifollicular zone	
CL:0002399	CD1c-positive myeloid dendritic cell		UBERON:0005353	spleen perifollicular zone	
CL:0001058	plasmacytoid dendritic cell, human		UBERON:0005353	spleen perifollicular zone	
CL:2000053	splenic endothelial cell		UBERON:0001959	white pulp of spleen	Periarteriolar Lymphoid Sheath (PALS)
CL:1000421			UBERON:0001959	white pulp of spleen	Periarteriolar Lymphoid Sheath (PALS)
CL:0000442	follicular dendritic cell		UBERON:0004041	spleen primary B follicle	
CL:0000788	naive B cell		UBERON:0004041	spleen primary B follicle	
CL:0000787	memory B cell		UBERON:0004041	spleen primary B follicle	
CL:0000876	splenic white pulp macrophage		UBERON:0004041	spleen primary B follicle	
CL:0000442	follicular dendritic cell		UBERON:0005196	spleen germinal center	Germinal Center
CL:0000844	germinal center B cell		UBERON:0005196	spleen germinal center	Germinal Center
CL:0002038	T follicular helper cell		UBERON:0005196	spleen germinal center	Germinal Center
CL:0000877	splenic tingible body macrophage		UBERON:0005196	spleen germinal center	Germinal Center
CL:0000980	plasmablast		UBERON:0005196	spleen germinal center	Germinal Center
CL:0000818	transitional stage B cell		UBERON:0010421	spleen B cell corona	Mantle Zone
CL:0000442	follicular dendritic cell		UBERON:0010421	spleen B cell corona	Mantle Zone
CL:2000053	splenic endothelial cell		UBERON:0010421	spleen B cell corona	Mantle Zone
CL:0000788	naive B cell		UBERON:0010421	spleen B cell corona	Mantle Zone
CL:0000787	memory B cell		UBERON:0010421	spleen B cell corona	Mantle Zone
CL:0000972	class switched memory B cell		UBERON:0001251	marginal zone of spleen	
CL:0000787	memory B cell		UBERON:0001251	marginal zone of spleen	
CL:0000818	transitional stage B cell		UBERON:0001251	marginal zone of spleen	
CL:0000442	follicular dendritic cell		UBERON:0001251	marginal zone of spleen	
