s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0002006	cortex of lymph node		UBERON:0002391	lymph	
UBERON:0002194	capsule of lymph node		UBERON:0002391	lymph	
UBERON:8410013	afferent lymphatic vessel valve		UBERON:0002391	lymph	
UBERON:8410014	efferent lymphatic vessel valve		UBERON:0002391	lymph	
UBERON:0002195	trabecula of lymph node		UBERON:0002391	lymph	
UBERON:8410032	trabecular sinus of lymph node		UBERON:0002391	lymph	
UBERON:0005463	subcapsular sinus of lymph node		UBERON:0002391	lymph	
UBERON:0002007	medulla of lymph node		UBERON:0002391	lymph	
UBERON:8410036	medullary venule of lymph node		UBERON:0002391	lymph	
UBERON:8410035	medullary arteriole of lymph node		UBERON:0002391	lymph	
UBERON:0009745	lymph node medullary cord		UBERON:0002391	lymph	
UBERON:0009744	lymph node medullary sinus		UBERON:0002391	lymph	
UBERON:0009039	lymph node germinal center		UBERON:0002391	lymph	
UBERON:0010420	lymph node germinal center mantle zone		UBERON:0002391	lymph	
UBERON:0035495	hilum of lymph node		UBERON:0002391	lymph	
UBERON:8410033	lymph node vein		UBERON:0002391	lymph	
UBERON:8410034	lymph node artery		UBERON:0002391	lymph	
UBERON:8410041	venule of lymph node		UBERON:0002391	lymph	
UBERON:8410042	arteriole of lymph node		UBERON:0002391	lymph	
UBERON:0010748	lymph node follicle		UBERON:0002391	lymph	
UBERON:8410067	lymph node interfollicular cortex		UBERON:0002391	lymph	
UBERON:0010420	lymph node follicular corona (lymph node peripheral zone and B cell zone as synonym)		UBERON:0002391	lymph	
UBERON:0010417	lymph node T cell domain		UBERON:0002391	lymph	
UBERON:8410037	high endothelial venule		UBERON:0000029	lymph node	
CL:0002652	endothelial cell of high endothelial venule		UBERON:0000029	lymph node	
CL:0000442	follicular dendritic cell		UBERON:0000029	lymph node	
