s	slabel	user_slabel	o	olabel	user_olabel
CL:0000192	Smooth muscle cell	smooth muscle cell	UBERON:0004915	sphincter of hepatopancreatic ampulla	sphincter of hepatopancreatic ampulla
CL:0000146	Simple columnar epithelial cell	simple columnar epithelial cell	UBERON:0012271	Major duodenal papilla	major duodenal papilla
CL:1000322	Pancreatic goblet cell	pancreatic goblet cell	UBERON:0014726	intercalated duct of pancreas	intercalated duct of pancreas
CL:0002204	brush cell	brush cell?	UBERON:0014726	intercalated duct of pancreas	intercalated duct of pancreas
CL:0000577	type EC enteroendocrine cell	type EC enteroendocrine cell	UBERON:0014726	intercalated duct of pancreas	intercalated duct of pancreas
CL:0000192	Smooth muscle cell	smooth muscle cell	UBERON:0005429	dorsal pancreatic duct	dorsal pancreatic duct
CL:0000236	B cell	B cell	UBERON:0000017	Exocrine pancreas	exocrine pancreas
CL:0000084	T cell	T cell	UBERON:0000017	Exocrine pancreas	exocrine pancreas
CL:0000235	Macrophage	macrophage	UBERON:0000017	Exocrine pancreas	exocrine pancreas
CL:0000451	Dendritic cell	dendritic cell	UBERON:0000017	Exocrine pancreas	exocrine pancreas
CL:0005019	pancreatic epsilon cell	pancreatic epsilon cell	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000509	gastrin secreting cell	gastrin secreting cell	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000236	B cell	B cell	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000084	T cell	T cell	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000235	Macrophage	macrophage	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000451	Dendritic cell	dendritic cell	UBERON:0000006	Islet of Langerhans	islet of Langerhans
CL:0000136	fat cell	fat cell	UBERON:0015454	Pancreatic fat pad	pancreatic fat pad
