s	slabel	user_slabel	o	olabel	user_olabel
CL:0000826	pro-B cell	pro B progenitor	CL:0000945	lymphocyte of B lineage	B lineage
CL:0000990	conventional dendritic cell	dendritic cell type 2 (DC2)	CL:0001056	dendritic cell, human	dendritic cell (DC)
CL:0000840	immature conventional dendritic cell	transitionalDendritic Cell (tDC)	CL:0001056	dendritic cell, human	dendritic cell (DC)
CL:0000553	megakaryocyte progenitor cell	early Megakaryocyte (MK)	CL:0000556	megakaryocyte	Megakaryocyte (MK)
CL:0000037	hematopoietic stem cell	hemopoietic stem cell (HSC)	CL:0000837	hematopoietic multipotent progenitor cell	multipotent progenitor cell (MPP)
CL:0000559	promonocyte	promonocyte	CL:0000576	monocyte	monocyte
CL:0002193	myelocyte	myelocyte	CL:0000775	neutrophil	neutrophilic granulocyte
CL:0000097	mast cell	mast cell	CL:0000094	granulocyte	granulocyte
CL:0000938	CD16-negative, CD56-bright natural killer cell, human	CD56 bright Natural Killer	CL:0000814	mature NK T cell	NK lymphocytes
CL:0000824	mature natural killer cell	mature Natural killer	CL:0000814	mature NK T cell	NK lymphocytes
