s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0003126	Trachea	Trachea	UBERON:0001004	Respiratory System	Respiratory System
UBERON:0005203	trachea gland	trachea gland	UBERON:0003126	Trachea	Trachea
UBERON:0002177	Right Main Bronchus	Right Main Bronchus	UBERON:0001004	Respiratory System	Respiratory System
UBERON:0001651	right pulmonary artery	right pulmonary artery	UBERON:0002049	vasculature	vasculature
UBERON:0002178	Left Main Bronchus	Left Main Bronchus	UBERON:0001004	Respiratory System	Respiratory System
UBERON:0001652	left pulmonary artery	left pulmonary artery	UBERON:0002049	vasculature	vasculature
UBERON:0002167	Right Lung	Right Lung	UBERON:0001004	Respiratory System	Respiratory System
UBERON:0002170	upper lobe of right lung	Upper Lobe of Right Lung	UBERON:0002167	Right Lung	Right Lung
UBERON:0002174	middle lobe of right lung	Middle Lobe of Right Lung	UBERON:0002167	Right Lung	Right Lung
UBERON:0002171	lower lobe of right lung	Lower Lobe of Right Lung	UBERON:0002167	Right Lung	Right Lung
UBERON:0002168	Left Lung	Left Lung	UBERON:0001004	Respiratory System	Respiratory System
UBERON:0008952	upper lobe of left lung	Upper Lobe of Left Lung	UBERON:0002168	Left Lung	Left Lung
UBERON:0008953	lower lobe of left lung	Lower Lobe of Left Lung	UBERON:0002168	Left Lung	Left Lung
UBERON:0002187	terminal bronchiole	terminal bronchiole	UBERON:0010368	Pulmonary Lobule	pulmonarly lobule
UBERON:0008870	pulmonary alveolar parenchyma	pulmonary alveolar parenchyma	UBERON:0008874	Pulmonary Acinus	Pulmonary Acinus
UBERON:0002048	Lung	Lung	UBERON:0001004	Respiratory System	Respiratory System
