s	slabel	user_slabel	o	olabel	user_olabel
CL:0000057	fibroblast	fibroblast	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0010008	cardiac endothelial cell	cardiac endothelial cell	UBERON:0002049	vasculature	vasculature
CL:0000136	fat cell	fat cell	UBERON:0002078	right cardiac atrium	right cardiac atrium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002049	vasculature	vasculature
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0000136	fat cell	fat cell	UBERON:0006566	left ventricle myocardium	left ventricle myocardium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002094	interventricular septum	interventricular septum
CL:0000057	fibroblast	fibroblast	UBERON:0002094	interventricular septum	interventricular septum
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0006958	great vein of heart	great cardiac vein
CL:0000057	fibroblast	fibroblast	UBERON:0006958	great vein of heart	great cardiac vein
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0009687	middle cardiac vein	middle cardiac vein
CL:0000057	fibroblast	fibroblast	UBERON:0009687	middle cardiac vein	middle cardiac vein
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0002094	interventricular septum	interventricular septum
CL:0000136	fat cell	fat cell	UBERON:0002094	interventricular septum	interventricular septum
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0006567	right ventricle myocardium	right ventricle myocardium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000057	fibroblast	fibroblast	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000057	fibroblast	fibroblast	UBERON:0002049	vasculature	vasculature
CL:0000136	fat cell	fat cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000746	cardiac muscle cell	cardiac muscle cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002080	heart right ventricle	heart right ventricle
CL:0000077	mesothelial cell	mesothelial cell	UBERON:0002348	Epicardium	epicardium
CL:0000057	fibroblast	fibroblast	UBERON:0002348	Epicardium	epicardium
CL:0000071	blood vessel endothelial cell	blood vessel endothelial cell	UBERON:0002348	Epicardium	epicardium
