s	slabel	user_slabel	o	olabel	user_olabel
CL:1001607	articular chondrocyte	articular chondrocyte	UBERON:0009980	condyle of femur	condyle of femur
CL:0000743	hypertrophic chondrocyte	hypertrophic chondrocyte	UBERON:0009980	condyle of femur	condyle of femur
CL:0000743	hypertrophic chondrocyte	hypertrophic chondrocyte	UBERON:4000088	mineralized cartilage tissue	mineralized cartilage tissue
CL:0000137	osteocyte	osteocyte	UBERON:0009980	condyle of femur	condyle of femur
CL:0000062	osteoblast	osteoblast	UBERON:0009980	condyle of femur	condyle of femur
CL:0000779	multinuclear osteoclast	multinuclear osteoclast	UBERON:0009980	condyle of femur	condyle of femur
CL:0000778	mononuclear osteoclast	mononuclear osteoclast	UBERON:0009980	condyle of femur	condyle of femur
CL:2000008	microvascular endothelial cell	microvascular endothelial cell	UBERON:0007195	stroma of bone marrow	stroma of bone marrow
CL:0000669	pericyte cell	pericyte cell	UBERON:0009980	condyle of femur	condyle of femur
CL:0007010	preosteoblast	preosteoblast	UBERON:0009980	condyle of femur	condyle of femur
CL:0002262	endothelial cell of sinusoid	endothelial cell of sinusoid	UBERON:0009980	condyle of femur	condyle of femur
CL:0000136	fat cell	fat cell	UBERON:0009980	condyle of femur	condyle of femur
