Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0015173	arcuate artery of uterus		endothelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0012252	endocervical epithelium		endocervical epithelial cell	https://screening.iarc.fr/colpochap.php?lang=1	
UBERON:0001296	uterine myometrium		uterine smooth muscle type I cell	PMID: 24243625	
UBERON:0001296	uterine myometrium		uterine smooth muscle type II cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	SOX9+ epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	ciliated epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	glandular epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	luminal epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	stromal cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	uterine smooth muscle type II cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	perivascular support cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	macrophage	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	lymphocyte	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	uterine natural killer cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022355	stratum basalis	basal layer of endometrium	uterine dendritic cells	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022356	statum functionalis	outer layer of endometrium	B cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022356	statum functionalis	outer layer of endometrium	T cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022356	statum functionalis	outer layer of endometrium	innate lymphoid cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022356	statum functionalis	outer layer of endometrium	mast cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0022356	statum functionalis	outer layer of endometrium	endothelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0002337	endometrial stroma		stromal cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0012276	endometrium glandular epithelium		glandular epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
UBERON:0011949	endometrium luminal epithelium		luminal epithelial cell	https://doi.org/10.1101/2021.01.02.425073	
