s	slabel	user_slabel	o	olabel	user_olabel
UBERON:0014726	intercalated duct of pancreas	intercalated duct of pancreas	UBERON:0014719	Intralobular duct	intralobular duct
CL:0000236	B cell	B cell	CL:0000542	Lymphocyte	lymphocyte
UBERON:0001069	Head of pancreas	head of pancreas	UBERON:0001264	Pancreas	Pancreas
UBERON:0001263	Pancreatic acinus	Pancreatic acinus	UBERON:0000017	Exocrine pancreas	exocrine pancreas
UBERON:2005346	Extrapancreatic duct	extrapancreatic duct	UBERON:0000017	Exocrine pancreas	exocrine pancreas
UBERON:0001150	Body of pancreas	body of pancreas	UBERON:0001264	Pancreas	Pancreas
UBERON:0001151	Tail of pancreas	tail of pancreas	UBERON:0001264	Pancreas	Pancreas
