Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	glutamic acid decarboxylase 65 cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina. ; Mills, S.L. and Massey, S.C. (1999), AII amacrine cell limit scotopic acuity in central macaque retina: A confocal analysis of calretinin labeling. J. Comp. Neurol., 411: 19-34. ; Mariani, A.P. and Hokoc, J.N. (1988), Two types of tyrosine hydroxylase-immunoreactive amacrine cell in the rhesus monkey retina. J. Comp. Neurol., 276: 81-91. https://doi.org/10.1002/cne.902760106	DOI: 10.1016/j.preteyeres.2020.100844 ; DOI: 10.1002/(SICI)1096-9861(19990816)411:1<19::AID-CNE3>3.0.CO;2-4 ; DOI: 10.1002/cne.902760106
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	A8 bistratified small-field cell	Ghosh, K.K., Bujan, S., Haverkamp, S., Feigenspan, A. and Wässle, H. (2004), Types of bipolar cell in the mouse retina. J. Comp. Neurol., 469: 70-82. ; Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina. ; Jeremy N. Kay, Irina De la Huerta, In-Jung Kim, Yifeng Zhang, Masahito Yamagata, Monica W. Chu, Markus Meister, Joshua R. Sanes. retinal Ganglion cell with Distinct Directional Preferences Differ in Molecular Identity, Structure, and Central Projections. Journal of Neuroscience 25 May 2011, 31 (21) 7753-7762 ; KLUMP, K., ZHANG, A., WU, S., & MARSHAK, D. (2009). Parvalbumin-immunoreactive amacrine cell of macaque retina. Visual Neuroscience, 26(3), 287-296. ; Majumdar, S., Wässle, H., Jusuf, P.R. and Haverkamp, S. (2008), Mirror-symmetrical populations of wide-field amacrine cell of the macaque monkey retina. J. Comp. Neurol., 508: 13-27.	DOI: 10.1002/cne.10985 ; DOI: 10.1016/j.preteyeres.2020.100844 ; DOI: 10.1523/JNEUROSCI.0907-11.2011 ; DOI: 10.1017/S0952523809090075 ; DOI: 10.1002/cne.21666
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	medium-field cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	wide field cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	polyaxonal amacrine cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	semilunar type 1 cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	semilunar type 3 cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	A2 cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	semilunar cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
UBERON:0001791	inner nuclear layer of retina	inner nuclear layer	starburst amacrine cell	Ulrike Grünert, Paul R. Martin, Cell types and cell circuits in human and non-human primate retina.	DOI: 10.1016/j.preteyeres.2020.100844
