Terminal AS/ID	Terminal AS/label	Terminal AS/user_label	CL Name	References/ID	References/DOI
UBERON:0004647	liver lobule	hepatic Lobule	Eomes low Liver NK cell	HTTPS:DOIORG101172JCIINSIGHT90063	
UBERON:0004647	liver lobule	hepatic Lobule	TBet low Liver NK cell	HTTPS:DOIORG103389FIMMU201901502	
