row_number	s	slabel	user_slabel	o	olabel	user_olabel
293	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
296	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
297	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000368	adductor brevis	adductor brevis muscle
298	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000303	adductor longus	adductor longus muscle
299	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000370	adductor magnus	adductor magnus muscle
300	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000370	adductor magnus	adductor magnus muscle
301	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0000950	gracilis	gracilis muscle
303	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001382	pectineus muscle	pectineus muscle
304	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
305	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001298	psoas major muscle	psoas major muscle
306	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001372	psoas minor muscle	psoas minor muscle
198	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001601	extra-ocular muscle	extra-ocular muscle
307	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
310	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001388	gastrocnemius	gastrocnemius muscle
314	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001391	popliteus muscle	popliteus muscle
315	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001389	soleus muscle	soleus muscle
317	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
318	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001374	biceps femoris	biceps femoris muscle
319	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001374	biceps femoris	biceps femoris muscle
320	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001374	biceps femoris	biceps femoris muscle
321	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001381	semimembranosus muscle	semimembranosus muscle
322	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001375	semitendinosus	semitendinosus muscle
323	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001383	muscle of leg	leg muscle
325	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008464	abductor hallucis muscle	abductor hallucis muscle
326	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0014379	adductor hallucis muscle	adductor hallucis muscle
327	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0014379	adductor hallucis muscle	adductor hallucis muscle
309	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001392	flexor hallucis longus	flexor hallucis longus muscle
197	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001603	lateral rectus extra-ocular muscle	lateral rectus extra-ocular muscle
196	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006322	inferior rectus extraocular muscle	inferior rectus extraocular muscle
195	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0006320	inferior oblique extraocular muscle	inferior oblique extraocular muscle
63	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001523	flexor digitorum profundus	flexor digitorum profundus muscle
64	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003222	flexor digitorum superficialis	flexor digitorum superficialis muscle
65	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003222	flexor digitorum superficialis	flexor digitorum superficialis muscle
66	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0003222	flexor digitorum superficialis	flexor digitorum superficialis muscle
67	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0008446	flexor pollicis longus muscle	flexor pollicis longus muscle
68	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0016493	palmaris longus muscle	palmaris longus muscle
73	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001500	muscle of manus	hand muscle
74	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001500	muscle of manus	hand muscle
75	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001500	muscle of manus	hand muscle
76	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001500	muscle of manus	hand muscle
77	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
80	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0036172	palmaris brevis	palmaris brevis muscle
81	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
83	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
84	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002989	anconeus muscle	anconeus muscle
85	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001509	triceps brachii	triceps brachii muscle
86	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001509	triceps brachii	triceps brachii muscle
87	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001509	triceps brachii	triceps brachii muscle
88	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001509	triceps brachii	triceps brachii muscle
89	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
91	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011011	brachioradialis	brachioradialis muscle
92	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001525	extensor carpi radialis brevis muscle	extensor carpi radialis brevis muscle
93	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001524	extensor carpi radialis longus muscle	extensor carpi radialis longus muscle
94	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001526	extensor carpi ulnaris muscle	extensor carpi ulnaris muscle
95	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001526	extensor carpi ulnaris muscle	extensor carpi ulnaris muscle
96	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001526	extensor carpi ulnaris muscle	extensor carpi ulnaris muscle
97	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0007614	extensor digiti minimi muscle	extensor digiti minimi muscle
62	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001522	flexor carpi ulnaris muscle	flexor carpi ulnaris muscle
61	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001522	flexor carpi ulnaris muscle	flexor carpi ulnaris muscle
60	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001522	flexor carpi ulnaris muscle	flexor carpi ulnaris muscle
59	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001521	flexor carpi radialis muscle	flexor carpi radialis muscle
14	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002461	anterior abdominal wall muscle	anterior abdominal wall muscle
15	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0005442	abdominal external oblique muscle	abdominal external oblique muscle
16	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002461	anterior abdominal wall muscle	anterior abdominal wall muscle
17	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011016	pyramidalis	pyramidalis muscle
18	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002382	rectus abdominis muscle	rectus abdominis muscle
19	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001221	transversus abdominis muscle	transversus abdominis muscle
20	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002378	muscle of abdomen	abdomen muscle
21	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001327	coccygeus muscle	coccygeus muscle
22	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011511	iliococcygeus muscle	iliococcygeus muscle
24	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011528	pubococcygeus muscle	pubococcygeus muscle
27	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011512	puborectalis muscle	puborectalis muscle
28	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011532	female pubococcygeus muscle	pubovaginalis
29	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
100	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0017618	extensor pollicis brevis muscle	extensor pollicis brevis muscle
30	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0011389	bulbospongiosus muscle	bulbospongiosus muscle
32	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
33	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
37	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001339	ischiocavernosus muscle	ischiocavernosus muscle
38	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
39	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
40	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002379	perineal muscle	perineal muscle
41	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002378	muscle of abdomen	abdomen muscle
48	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0002378	muscle of abdomen	abdomen muscle
50	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
51	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
56	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001506	brachialis muscle	brachialis muscle
57	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001505	coracobrachialis muscle	coracobrachialis muscle
58	CL:0000188	cell of skeletal muscle	skeletal muscle cell	UBERON:0001499	muscle of arm	arm muscle
