Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
abdomen muscle	muscle of abdomen	UBERON:0002378	pelvic floor muscle	HTTPS:FIPATLIBRARYDALCATA2	
abdomen muscle	muscle of abdomen	UBERON:0002378	pelvic floor muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
pelvic floor muscle			puboanalis muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
pelvic floor muscle			puboperineales muscle	HTTPS:FIPATLIBRARYDALCATA2	
abdomen muscle	muscle of abdomen	UBERON:0002378	posterior abdominal wall muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
respiratory diaphragm muscle	diaphragm	UBERON:0001103	sternal part of respiratory diaphragm muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
back muscle	muscle of back	UBERON:0002324	intermediate back muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
back muscle	muscle of back	UBERON:0002324	segmental back muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			anterior cervical intertransversarii muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			interspinales cervicalis muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			intertransversarii laterales lumborum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
intertransversarii laterales lumborum muscle			dorsal part of intertransversarii laterales lumborum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
intertransversarii laterales lumborum muscle			ventral part of intertransversarii laterales lumborum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			lateral posterior cervical intertransversarii muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			medial lumbar intertransversarii muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			medial posterior cervical intertransversarii muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
segmental back muscle			thoracic intertransversarii muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
back muscle	muscle of back	UBERON:0002324	superficial back muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
transversospinales muscle	transversospinales muscle	UBERON:0010990	multifidus cervicis muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
transversospinales muscle	transversospinales muscle	UBERON:0010990	multifidus lumborum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
transversospinales muscle	transversospinales muscle	UBERON:0010990	multifidus thoracis muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
pectoralis major muscle	pectoralis major	UBERON:0002381	clavicular head of pectoralis major muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
pectoralis major muscle	pectoralis major	UBERON:0002381	sternocostal head of pectoralis major muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
chest muscle	chest muscle	UBERON:0002426	thoracic wall muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
levator costarum muscle	levator costarum	UBERON:8410070	levatores costarum breves of levator costarum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
levator costarum muscle	levator costarum	UBERON:8410070	levatores costarum longi of levator costarum muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
cranial muscle	cranial muscle	UBERON:0002376	external ear muscle	HTTPS:FIPATLIBRARYDALCATA2	
cranial muscle	cranial muscle	UBERON:0002376	external ear muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
intrinsic tongue muscle	intrinsic muscle of tongue	UBERON:0001576	inferior longitudinal lingual muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
lateral pterygoid muscle	lateral pterygoid muscle	UBERON:0006719	inferior head of lateral pterygoid muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
lateral pterygoid muscle	lateral pterygoid muscle	UBERON:0006719	superior head of lateral pterygoid muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
cranial muscle	cranial muscle	UBERON:0002376	middle ear muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
anterior compartment of thigh muscle	Muscle of anterior compartment of thigh	FMA:22424	articularis genu muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
leg muscle	muscle of leg	UBERON:0001383	dorsum of foot muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
leg muscle	muscle of leg	UBERON:0001383	lateral compartmet of leg muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
adductor magnus muscle	adductor magnus	UBERON:0000370	hamstring portion of adductor magnus muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
leg muscle	muscle of leg	UBERON:0001383	sole of foot muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
neck muscle	muscle of neck	UBERON:0002377	longitudinal pharyngeal muscle	HTTPS:FIPATLIBRARYDALCATA2 ; ISBN:9780323393225	
