Table	number_of_relationships	percent_invalid_relationship	percent_indirect_relationship
Brain	110	30.91	48.68
Bone-Marrow_Blood	31	32.26	61.9
Heart	35	34.29	85.71
Kidney	48	10.42	51.16
Large_intestine	158	22.78	60.71
Lung	59	37.29	66.67
Skin	16	31.25	60.0
Lymph_node	37	37.84	43.75
Spleen	29	17.24	35.29
Thymus	27	44.44	50.0
