s	slabel	user_slabel	o	olabel	user_olabel	row_number	deltaIC
CL:0011103	sympathetic neuron	Sympathetic Neuron	UBERON:0034729	sympathetic nerve	Sympathetic nerve	96	1.4319456345983639
CL:0000442	follicular dendritic cell	Follicular Dendritic Cell	UBERON:0010395	lymph node primary follicle	Primary Follicle	27	0.8808888147835461
CL:0000186	myofibroblast cell	Myofibroblast	UBERON:0002194	capsule of lymph node	Capsule	12	
UBERON:8410042	arteriole of lymph node	Arteriole	UBERON:0002194	capsule of lymph node	Capsule	13	
UBERON:8410041	venule of lymph node	Venule	UBERON:0002194	capsule of lymph node	Capsule	14	
UBERON:0002195	trabecula of lymph node	Trabeculae	UBERON:0002194	capsule of lymph node	Capsule	15	
UBERON:0002195	trabecula of lymph node	Trabeculae	UBERON:0002194	capsule of lymph node	Capsule	16	
UBERON:8410042	arteriole of lymph node	Arteriole	UBERON:0002195	trabecula of lymph node	Trabeculae	16	
UBERON:0002195	trabecula of lymph node	Trabeculae	UBERON:0002194	capsule of lymph node	Capsule	17	
UBERON:8410041	venule of lymph node	Venule	UBERON:0002195	trabecula of lymph node	Trabeculae	17	
UBERON:0010396	afferent lymphatic vessel	Afferent lymphatic vessel	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	18	
UBERON:0010396	afferent lymphatic vessel	Afferent lymphatic vessel	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	19	
CL:0000887	lymph node subcapsular sinus macrophage	Macrophage	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	20	
UBERON:8410071	subcapsular sinus ceiling	Subcapsular sinus ceiling	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	22	
UBERON:8410072	subcapsular sinus floor	Subcapsular sinus floor	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	23	
UBERON:8410032	trabecular sinus of lymph node	Trabecular sinus	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	24	
CL:0009109	lymphatic endothelial cell of trabecula	Lymphatic Endothelial Cell-Trabeculae	UBERON:8410032	trabecular sinus of lymph node	Trabecular sinus	24	
UBERON:8410041	venule of lymph node	Venule	UBERON:0002006	cortex of lymph node	Cortex	25	
UBERON:8410042	arteriole of lymph node	Arteriole	UBERON:0002006	cortex of lymph node	Cortex	26	
CL:0009113	T follicular regulatory cell	T Follicular Regulatory Cell	UBERON:8410052	lymph node germinal center light zone	Light Zone	34	
CL:0000888	lymph node tingible body macrophage	Tingible Body Macrophage	UBERON:8410052	lymph node germinal center light zone	Light Zone	35	
CL:0009105	T cell zone reticular cell	T Cell Zone Reticular Cell	UBERON:8410067	lymph node interfollicular cortex	Interfollicular Cortex	51	
CL:0009113	T follicular regulatory cell	T Follicular Regulatory Cell	UBERON:8410067	lymph node interfollicular cortex	Interfollicular Cortex	53	
CL:0002399	CD1c-positive myeloid dendritic cell	Conventional Dendritic Cell cDC2	UBERON:8410067	lymph node interfollicular cortex	Interfollicular Cortex	54	
CL:0009105	T cell zone reticular cell	T Cell Zone Reticular Cell	UBERON:8410074	lymph node paracortical sinus	Paracortical Sinus	56	
UBERON:8410042	arteriole of lymph node	Arteriole	UBERON:8410066	lymph node paracortex	Paracortex	58	
UBERON:0006842	lymphatic capillary	capillaries of lymph node	UBERON:8410066	lymph node paracortex	Paracortex	59	
UBERON:8410038	high endothelial venule of lymph node	High Endothelial Venule	UBERON:8410066	lymph node paracortex	Paracortex	60	
CL:0001058	plasmacytoid dendritic cell, human	Plasmacytoid Dendritic Cell	UBERON:8410075	lymph node paracortical cord	Paracortical Cord	61	
CL:0002394	CD141-positive myeloid dendritic cell	Conventional Dendritic Cell cDC1	UBERON:8410075	lymph node paracortical cord	Paracortical Cord	62	
CL:0009114	monocytoid B Cell	Monocytoid B Cell	UBERON:8410075	lymph node paracortical cord	Paracortical Cord	77	
CL:0009106	medullary reticular cell	Medullary Reticular Cell	UBERON:0009745	lymph node medullary cord	Medullary Cord	80	
CL:0002138	endothelial cell of lymphatic vessel	Lymphatic Endothelial Cell	UBERON:0009744	lymph node medullary sinus	Medullary Sinus	83	
CL:0000786	plasma cell	Plasma Cell	UBERON:0009745	lymph node medullary cord	Medullary Cord	84	
CL:0000097	mast cell	Mast Cell	UBERON:0009745	lymph node medullary cord	Medullary Cord	86	
CL:0000235	macrophage	Macrophage	UBERON:0009745	lymph node medullary cord	Medullary Cord	87	
CL:0000980	plasmablast	Plasmablast	UBERON:0009745	lymph node medullary cord	Medullary Cord	88	
CL:0000451	dendritic cell	Dendritic Cell	UBERON:0009745	lymph node medullary cord	Medullary Cord	89	
UBERON:8410034	lymph node artery	Lymphatic Artery	UBERON:0002007	medulla of lymph node	Medulla	90	
UBERON:8410033	lymph node vein	Hilar Vein	UBERON:0002007	medulla of lymph node	Medulla	91	
UBERON:8410036	medullary venule of lymph node	Venule	UBERON:8410033	lymph node vein	Hilar Vein	91	
CL:0000669	pericyte	Pericyte	UBERON:0002007	medulla of lymph node	Medulla	92	
UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	UBERON:0002007	medulla of lymph node	Medulla	93	
CL:0009110	lymphatic endothelial cell of medulla ceiling	Lymphatic Endothelial Cell of Medulla Ceiling	UBERON:0005463	subcapsular sinus of lymph node	Subcapsular Sinus	93	
CL:0019017	lymphatic vessel smooth muscle cell	Smooth Muscle Cell	UBERON:0010397	efferent lymphatic vessel	Efferent Lymphatics	95	
UBERON:8410033	lymph node vein	Hilar Vein	UBERON:0035495	hilum of lymph node	Hilum	98	
