AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	CT/1	CT/1/LABEL	CT/1/ID	BG/1	BG/1/LABEL	BG/1/ID	BG/2	BG/2/LABEL	BG/2/ID	BG/3	BG/3/LABEL	BG/3/ID	BG/4	BG/4/LABEL	BG/4/ID	FTU	REF/1	REF/1/DOI	REF/1/NOTES	REF/2	REF/2/DOI	REF/2/NOTES
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	sinoatrial node	sinoatrial node	UBERON:0002351	pacemaker cell	cardiac pacemaker cell of sinoatrial node	CL:1000477	HCN4		HGNC:16882	Cx45		HGNC:4280													
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	myocardium	myocardium of atrium	UBERON:0002302	cardiomyocyte	cardiac muscle cell	CL:0000746	TTN		HGNC:12403	MYH6		HGNC:7576	NPPA		HGNC:7939										
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	myocardium	myocardium of atrium	UBERON:0002302	fibroblast	cardiac atrium fibroblast	CL:2000067	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	myocardium	myocardium of atrium	UBERON:0002302	macrophage	macrophage	CL:0000235	CD14		HGNC:1628	C1QA		HGNC:1241	FOLR2		HGNC:3793										
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	vasculature	vasculature	UBERON:0002049	endothelial cell	cardiac endothelial cell	CL:0010008	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	vasculature	vasculature	UBERON:0002049	smooth muscle cell	vascular associated smooth muscle cell	CL:0000359	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	right atrium	right cardiac atrium	UBERON:0002078	vasculature	vasculature	UBERON:0002049	fibroblast	cardiac atrium fibroblast	CL:2000067	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	left circumflex artery	circumflex branch of left coronary artery	UBERON:0035422	endothelial cell	endothelial cell of artery	CL:0002542	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	left circumflex artery	circumflex branch of left coronary artery	UBERON:0035422	smooth muscle cell	smooth muscle cell of the coronary artery	CL:0002592	MYH11		HGNC:7569	TAGLN		HGNC:11553	ACTA2		HGNC:130										
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	left circumflex artery	circumflex branch of left coronary artery	UBERON:0035422	fibroblast	fibroblast	CL:0000057	PDGFRA		HGNC:8803	GSN		HGNC:4620													
heart	heart	UBERON:0000948	atrioventricular junction	atrioventricular region	UBERON:0011820	coronary sinus	coronary sinus	UBERON:0005438	endothelial cell	endothelial cell of artery	CL:0002542	PECAM1 (CD31)		HGNC:8823	VWF		HGNC:12726	CDH5		HGNC:1764										
