AS/1	AS/1/LABEL	AS/1/ID	AS/2	AS/2/LABEL	AS/2/ID	AS/3	AS/3/LABEL	AS/3/ID	AS/4	AS/4/LABEL	AS/4/ID	AS/5	AS/5/LABEL	AS/5/ID	AS/6	AS/6/LABEL	AS/6/ID	AS/7	AS/7/LABEL	AS/7/ID
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal epithelium	epithelium of trachea	UBERON:0001901												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal epithelium	epithelium of trachea	UBERON:0001901												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal epithelium	epithelium of trachea	UBERON:0001901												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal epithelium	epithelium of trachea	UBERON:0001901												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal epithelium	epithelium of trachea	UBERON:0001901												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal smooth muscle	smooth muscle of trachea	UBERON:0003387												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	terminal ciliated ducts of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	terminal ciliated ducts of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	terminal ciliated ducts of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	collecting ducts of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	mucous tubules of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	distal acini of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal submucosal gland	trachea gland	UBERON:0005203	myoepithelial cells of tracheal submucosal gland											
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	tracheal cartilage	trachea cartilage	UBERON:0003604												
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	trachea blood vessel	trachea blood vessel	UBERON:0003505	bronchial artery	bronchial artery	UBERON:0002040									
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	trachea blood vessel	trachea blood vessel	UBERON:0003505	bronchial artery	bronchial artery	UBERON:0002040									
Respiratory System	Respiratory System	UBERON:0001004	Trachea	Trachea	UBERON:0003126	trachea blood vessel	trachea blood vessel	UBERON:0003505	bronchial vein	bronchial vein	UBERON:0001592	respiratory system venous endothelium		UBERON:0004849						
