Upper AS	Upper AS/label	Upper AS/ID	AS Name	References/ID	References/DOI
arm bone	arm bone	UBERON:0003460	free part of arm bone	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
humerus	humerus	UBERON:0000976	coronoid fossa of humerus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
humerus	humerus	UBERON:0000976	olecranon fossa of humerus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
humerus	humerus	UBERON:0000976	radial fossa of humerus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
humerus	humerus	UBERON:0000976	radial groove of humerus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
radius bone	radius bone	UBERON:0001423	head of radius of radius	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
radius bone	radius bone	UBERON:0001423	neck of radius of radius	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
radius bone	radius bone	UBERON:0001423	radial tuberosity of radius	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
radius bone	radius bone	UBERON:0001423	shaft of radius of radius	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	head of ulna of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	olecranon of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	shaft of ulna of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	supinator fossa of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	trochlear notch of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
ulna	ulna	UBERON:0001424	ulnar tuberosity of ulna	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 1	distal phalanx of manual digit 1	UBERON:0004337	base of first distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 1	distal phalanx of manual digit 1	UBERON:0004337	shaft of first distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 1	distal phalanx of manual digit 1	UBERON:0004337	tuberosity of first distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 2	distal phalanx of manual digit 2	UBERON:0004311	head of second distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 2	distal phalanx of manual digit 2	UBERON:0004311	tuberosity of second distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 3	distal phalanx of manual digit 3	UBERON:0004312	tuberosity of third distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 4	distal phalanx of manual digit 4	UBERON:0004313	tuberosity of fourth distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of hand 5	distal phalanx of manual digit 5	UBERON:0004314	tuberosity of fifth distal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
middle phalanx of digit of hand 2	middle phalanx of manual digit 2	UBERON:0004320	head of second middle phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
middle phalanx of digit of hand 3	middle phalanx of manual digit 3	UBERON:0004321	head of third middle phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
proximal phalanx of digit of hand 1	proximal phalanx of manual digit 1	UBERON:0004338	base of first proximal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
proximal phalanx of digit of hand 1	proximal phalanx of manual digit 1	UBERON:0004338	shaft of first proximal phalanx of hand	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scaphoid	radiale	UBERON:0001427	scaphoid tubercle of scaphoid	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	acromial process of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	glenoid fossa of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	infraglenoid tubercle of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	infraspinous fossa of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	scapular neck of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	scapular notch of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	scapular spine of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	subscapular fossa of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	supraglenoid tubercle of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
scapula	scapula	UBERON:0006849	supraspinous fossa of scapula	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	articular surface for cuboid bone of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	body of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	calcaneal sulcus of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	calcaneal tuberosity of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	fibular trochlea of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	groove for tendon of flexor hallucis longus muscle of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	lateral process of tuberosity of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	medial process of tuberosity of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
calcaneus	calcaneus	UBERON:0001450	sustentaculum tali of calcaneus	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
cuboid bone	cuboid bone	UBERON:0001455	groove for fibularis longus tendon of cuboid	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of foot 1	distal phalanx of pedal digit 1	UBERON:0004315	base of first distal phalanx of foot	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
distal phalanx of digit of foot 2	distal phalanx of pedal digit 2	UBERON:0004316	head of second distal phalanx of foot	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
middle phalanx of digit of foot 2	middle phalanx of pedal digit 2	UBERON:0004324	head of second middle phalanx of foot	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
proximal phalanx of digit of foot 1	proximal phalanx of pedal digit 1	UBERON:0004332	base of first proximal phalanx of foot	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
leg bone	leg bone	UBERON:0005893	free part of leg bone	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
femur	femur	UBERON:0000981	gluteal tuberosity of femur	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
femur	femur	UBERON:0000981	intercondylar notch of femur	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
femur	femur	UBERON:0000981	pectinal line of femur	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	anterolateral tubercle of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	fibular facet of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	fibular notch of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	interosseus border of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	medial malleolus of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	soleal line of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	tibial plateau of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
tibia	tibia	UBERON:0000979	tibial tuberosity of tibia	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	acetabular fossa of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	acetabular notch of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	acetabulum of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	anterior gluteal line of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	anterior inferior iliac spine of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	anterior superior iliac spine of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	arcuate line of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	auricular surface of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	gluteal surface of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	greater sciatic notch of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	iliac crest of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	iliac fossa of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	iliac tubercle of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	iliac tuberosity of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	iliopubic ramus of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	inferior pubic ramus of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	ischial body of ischium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	ischial ramus of ischium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	ischial spine of ischium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	ischial tuberosity of ischium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	ischiopubic ramus of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	lesser sciatic notch of ischium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	lunate surface of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	obturator foramen of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	obturator groove of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	pecten pubis of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	posterior gluteal line of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	posterior inferior iliac spine of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	posterior superior iliac spine of ilium of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	pubic body of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	pubic crest of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	pubic symphysis of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
os coxa	innominate bone	UBERON:0001272	pubic tubercle of pubis of os coxa	ISBN:9780323393225 ; HTTPS:FIPATLIBRARYDALCATA2	
