	SUBJECT	OBJECT
0	ID	SC 'connected to' some %
1	UBERON:0002079	UBERON:0002049
2	UBERON:0002084	UBERON:0002049
3	UBERON:0000947	UBERON:0002084
4	UBERON:0001496	UBERON:0000947
5	UBERON:0001508	UBERON:0001496
6	UBERON:0001529	UBERON:0001508
7	UBERON:0001531	UBERON:0001529
8	UBERON:0001534	UBERON:0001529
9	UBERON:0001530	UBERON:0001508
10	UBERON:0001070	UBERON:0001530
11	UBERON:0001612	UBERON:0001070
12	UBERON:0010408	UBERON:0001612
13	UBERON:0003471	UBERON:0001612
14	UBERON:0003470	UBERON:0001612
15	UBERON:0001610	UBERON:0001070
16	UBERON:0001611	UBERON:0001610
17	UBERON:0001616	UBERON:0001070
18	UBERON:0009654	UBERON:0001616
19	UBERON:0001618	UBERON:0001616
20	UBERON:0014695	UBERON:0001616
21	UBERON:0014693	UBERON:0001616
22	UBERON:0001617	UBERON:0014693
23	UBERON:0004646	UBERON:0001616
24	UBERON:0013648	UBERON:0001616
25	UBERON:0010250	UBERON:0001616
26	UBERON:0018397	UBERON:0001616
27	UBERON:0001613	UBERON:0001070
28	UBERON:0014694	UBERON:0001070
29	UBERON:0006345	UBERON:0014694
30	UBERON:0001614	UBERON:0001070
31	UBERON:0035042	UBERON:0001614
32	UBERON:0035261	UBERON:0001614
33	UBERON:0001615	UBERON:0001614
34	UBERON:0015157	UBERON:0001614
35	UBERON:0007150	UBERON:0001070
36	UBERON:0001532	UBERON:0001530
37	UBERON:0001624	UBERON:0001532
38	UBERON:0006764	UBERON:0001624
39	UBERON:0014696	UBERON:0001532
40	UBERON:0007693	UBERON:0001532
41	UBERON:0001627	UBERON:0001532
42	UBERON:0035462	UBERON:0001627
43	UBERON:0035225	UBERON:0001627
44	UBERON:0035042	UBERON:0001627
45	UBERON:0035222	UBERON:0001627
46	UBERON:0001619	UBERON:0001532
47	UBERON:0012318	UBERON:0001619
48	UBERON:0010251	UBERON:0012318
49	UBERON:0001620	UBERON:0001619
50	UBERON:0001623	UBERON:0001619
51	UBERON:0002270	UBERON:0001619
52	UBERON:0001622	UBERON:0001619
53	UBERON:0014772	UBERON:0001622
54	UBERON:0014773	UBERON:0001619
55	UBERON:0012319	UBERON:0001619
56	UBERON:0015160	UBERON:0001619
57	UBERON:0012187	UBERON:0001619
58	UBERON:0001628	UBERON:0001532
59	UBERON:0035404	UBERON:0001532
60	UBERON:0001514	UBERON:0001508
61	UBERON:0002345	UBERON:0001514
62	UBERON:0001516	UBERON:0002345
63	UBERON:0001640	UBERON:0001516
64	UBERON:0005436	UBERON:0001640
65	UBERON:0010132	UBERON:0005436
66	UBERON:0035829	UBERON:0010132
67	UBERON:0002070	UBERON:0010132
68	UBERON:0015480	UBERON:0005436
69	UBERON:0015481	UBERON:0015480
70	UBERON:0015482	UBERON:0015480
71	UBERON:0001192	UBERON:0001640
72	UBERON:0001194	UBERON:0001640
73	UBERON:0035830	UBERON:0001194
74	UBERON:0010399	UBERON:0001194
75	UBERON:0010401	UBERON:0010399
76	UBERON:0013132	UBERON:0010401
77	UBERON:0001191	UBERON:0001516
78	UBERON:0001308	UBERON:0001191
79	UBERON:0001356	UBERON:0001355
80	UBERON:0001537	UBERON:0002250
81	UBERON:0001539	UBERON:0001537
82	UBERON:0001553	UBERON:0001539
83	UBERON:0001390	UBERON:0002250
84	UBERON:0001541	UBERON:0001538
85	UBERON:0009040	UBERON:0001308
86	UBERON:0001354	UBERON:0001308
87	UBERON:0034693	UBERON:0001354
88	UBERON:0001309	UBERON:0001191
89	UBERON:0034727	UBERON:0007315
90	UBERON:0008320	UBERON:0007315
91	UBERON:0001340	UBERON:0008320
92	UBERON:0008322	UBERON:0007315
93	UBERON:0008323	UBERON:0007315
94	UBERON:0001357	UBERON:0007315
95	UBERON:0001358	UBERON:0007315
96	UBERON:0035640	UBERON:0001312
97	UBERON:0005192	UBERON:0001310
98	UBERON:0001183	UBERON:0001516
99	UBERON:0035180	UBERON:0001183
100	UBERON:0035040	UBERON:0001183
101	UBERON:0012255	UBERON:0001516
102	UBERON:0001198	UBERON:0012255
103	UBERON:0035529	UBERON:0001516
104	UBERON:0001186	UBERON:0001516
105	UBERON:0001189	UBERON:0001516
106	UBERON:0006636	UBERON:0001516
107	UBERON:0005464	UBERON:0001516
108	UBERON:0012173	UBERON:0001516
109	UBERON:0001190	UBERON:0001516
110	UBERON:0001184	UBERON:0001516
111	UBERON:0002056	UBERON:0001184
112	UBERON:0001552	UBERON:0009885
113	UBERON:0004723	UBERON:0001552
114	UBERON:0004639	UBERON:0004723
115	UBERON:0004212	UBERON:0004639
116	UBERON:0004640	UBERON:0004212
