row_number	s	slabel	user_slabel	o	olabel	user_olabel	deltaIC
20	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	CL:0001056	dendritic cell, human	dendritic cell (DC)	11.24150656734389
12	CL:0000816	immature B cell	immature B cell	UBERON:0000178	Blood	Blood	
13	CL:0000787	memory B cell	memory B cell	UBERON:0000178	Blood	Blood	
14	CL:0000788	naive B cell	naive B cell	UBERON:0000178	Blood	Blood	
15	CL:0000818	transitional stage B cell	transitional B cell	UBERON:0000178	Blood	Blood	
16	CL:0002394	CD141-positive myeloid dendritic cell	dendritic cell type 1 (DC1)	CL:0001056	dendritic cell, human	dendritic cell (DC)	
16	CL:0002394	CD141-positive myeloid dendritic cell	dendritic cell type 1 (DC1)	UBERON:0000178	Blood	Blood	
17	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 2 (DC2)	CL:0001056	dendritic cell, human	dendritic cell (DC)	
17	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 2 (DC2)	UBERON:0000178	Blood	Blood	
18	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 3 (DC3)	CL:0001056	dendritic cell, human	dendritic cell (DC)	
18	CL:0002399	CD1c-positive myeloid dendritic cell	dendritic cell type 3 (DC3)	UBERON:0000178	Blood	Blood	
19	CL:0001058	plasmacytoid dendritic cell, human	Plasmacytoid Dendritic Cell (pDC)	UBERON:0000178	Blood	Blood	
20	CL:0000840	immature conventional dendritic cell	transitional Dendritic Cell (tDC)	UBERON:0000178	Blood	Blood	
21	CL:0001054	CD14-positive monocyte	CD14 monocyte	UBERON:0000178	Blood	Blood	
22	CL:0002396	CD14-low, CD16-positive monocyte	CD16 monocyte	UBERON:0000178	Blood	Blood	
23	CL:0000775	neutrophil	neutrophil	CL:0000775	neutrophil	neutrophilic granulocyte	
23	CL:0000775	neutrophil	neutrophil	UBERON:0000178	Blood	Blood	
24	CL:0000771	eosinophil	eosinophil	UBERON:0000178	Blood	Blood	
25	CL:0000767	basophil	basophil	UBERON:0000178	Blood	Blood	
26	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CD4 naive	UBERON:0000178	Blood	Blood	
27	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	UBERON:0000178	Blood	Blood	
28	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	UBERON:0000178	Blood	Blood	
29	CL:0001087	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	CD4 T cell effector memory CD45RA	UBERON:0000178	Blood	Blood	
30	CL:0000900	naive thymus-derived CD8-positive, alpha-beta T cell	CD8 naive	UBERON:0000178	Blood	Blood	
31	CL:0000897	CD4-positive, alpha-beta memory T cell	CD4 T cell memory	UBERON:0000178	Blood	Blood	
32	CL:0001050	effector CD8-positive, alpha-beta T cell	CD8 T cell effector memory	UBERON:0000178	Blood	Blood	
33	CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	CD8 T cell effector memory CD45RA	UBERON:0000178	Blood	Blood	
34	CL:0002437	mature CD8 single-positive thymocyte	mature CD8 T cell	UBERON:0000178	Blood	Blood	
35	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	CD56 bright Natural killer	CL:0000814	mature NK T cell	NK lymphocytes	
35	CL:0000938	CD16-negative, CD56-bright natural killer cell, human	CD56 bright Natural killer	UBERON:0000178	Blood	Blood	
36	CL:0000824	mature natural killer cell	mature Natural killer	CL:0000814	mature NK T cell	NK lymphocytes	
36	CL:0000824	mature natural killer cell	mature Natural killer	UBERON:0000178	Blood	Blood	
37	CL:0000815	regulatory T cell	T regulatory	UBERON:0000178	Blood	Blood	
